# alpha-ramp-150e — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.57849           —           —     scalar
tau_d (s)                                 +0.1     +0.025282           0    0.006126        300
tau_a_E (s)                            +4.8777        +1.585       3.996        1.31        450
tau_b_rec_E (s)                             +1      +0.35732           0     0.04221        150
tau_b_rel_E (s)                          +0.25      +0.18424           0     0.02491        150
W_eff (E src, signed)                 +0.23267      +0.20765     0.07641     0.07126      15048
W_eff (I src, signed)                 -0.31062      -0.27481     0.07724     0.07415      14977
|W_eff| (E src)                       +0.23267      +0.20765     0.07641     0.07126      15048
|W_eff| (I src)                       +0.31062      +0.27481     0.07724     0.07415      14977
W_in_eff (input neurons)           -0.00084237   -0.00087285      0.1008     0.04768       6675
c_E (SFA coupling)                       +0.05     +0.076048           0     0.01365        450
c_0_E (SFA offset)                          +0      -0.20905           0      0.1452        450
a_0 (threshold)                          +0.35      +0.14821           0      0.1304        300
readout_weight                     +0.00078219    -0.0072867     0.06654       0.109       6675
readout_bias                                +0      +0.11416           0      0.1458         89
ic.ic (per-variant init)             +0.098961     -0.033766       0.387      0.4815        900
