# alpha-ramp-150e — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +0.6809           —           —     scalar
tau_d (s)                                 +0.1     +0.037426           0    0.007794        300
tau_a_E (s)                            +4.8777       +2.4981       3.996       2.047        450
tau_b_rec_E (s)                             +1       +0.6809           0           0        150
tau_b_rel_E (s)                          +0.25      +0.17023           0           0        150
W_eff (E src, signed)                 +0.23267      +0.21012     0.07641     0.07208      15048
W_eff (I src, signed)                 -0.31062      -0.27813     0.07724     0.07452      14977
|W_eff| (E src)                       +0.23267      +0.21012     0.07641     0.07208      15048
|W_eff| (I src)                       +0.31062      +0.27813     0.07724     0.07452      14977
W_in_eff (input neurons)           -0.00015382    -0.0021955     0.09934      0.1421       6675
c_E (SFA coupling)                       +0.05     +0.051488           0    0.005558        450
c_0_E (SFA offset)                          +0      -0.17221           0       0.103        450
a_0 (threshold)                          +0.35      +0.35374           0     0.06641        300
readout_weight                     -0.00098972    +0.0074873     0.06678      0.1426       6675
readout_bias                                +0     -0.047463           0     0.08236         89
ic.ic (per-variant init)              +0.13078       +0.0259      0.4172      0.4526        900
