# alpha-ramp-150e — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.72008           —           —     scalar
tau_d (s)                                 +0.1     +0.041684           0    0.008946        300
tau_a_E (s)                           +0.69315      +0.49912           0           0        450
tau_b_rec_E (s)                             +1      +0.38513           0      0.0375        150
tau_b_rel_E (s)                          +0.25      +0.34002           0     0.04036        150
W_eff (E src, signed)                 +0.23267      +0.23701     0.07641     0.08288      15048
W_eff (I src, signed)                 -0.31062      -0.31315     0.07724     0.08562      14977
|W_eff| (E src)                       +0.23267      +0.23701     0.07641     0.08288      15048
|W_eff| (I src)                       +0.31062      +0.31315     0.07724     0.08562      14977
W_in_eff (input neurons)           +0.00019944    -0.0017695     0.09994      0.1438       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.23747           0     0.08906        300
readout_weight                     +0.00074661     +0.008098     0.06657      0.1618       6675
readout_bias                                +0     -0.029767           0      0.1688         89
ic.ic (per-variant init)             +0.087739     +0.035925      0.3868      0.4518        900
