# alpha-ramp-150e — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.58789           —           —     scalar
tau_d (s)                                 +0.1      +0.02679           0    0.005781        300
tau_a_E (s)                           +0.69315      +0.40749           0           0        450
tau_b_rec_E (s)                             +1      +0.39887           0     0.03951        150
tau_b_rel_E (s)                          +0.25      +0.17126           0     0.02144        150
W_eff (E src, signed)                 +0.23267      +0.21621     0.07641     0.07365      15048
W_eff (I src, signed)                 -0.31062      -0.28576     0.07724     0.07655      14977
|W_eff| (E src)                       +0.23267      +0.21621     0.07641     0.07365      15048
|W_eff| (I src)                       +0.31062      +0.28576     0.07724     0.07655      14977
W_in_eff (input neurons)           +0.00036119   +0.00024403     0.09956      0.0587       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.19603           0      0.1144        300
readout_weight                     +0.00055372     -0.012366     0.06572     0.09322       6675
readout_bias                                +0     +0.090316           0      0.1209         89
ic.ic (per-variant init)             +0.089141     +0.013634      0.3857      0.4678        900
