epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-e-only-per-neuron,1.001688,0.767421,1.042382,0.780258,0.00025000,2026-04-30T03:28:04Z
0,srnn-e-only-skip-per-neuron,0.081699,0.214174,0.080012,0.211407,0.00025000,2026-04-30T03:28:04Z
0,srnn-sfa-e-only-per-neuron,1.016220,0.773589,1.055633,0.785988,0.00025000,2026-04-30T03:28:04Z
0,srnn-sfa-e-only-skip-per-neuron,0.097293,0.236494,0.092695,0.230019,0.00025000,2026-04-30T03:28:04Z
0,srnn-std-e-only-per-neuron,1.002156,0.768131,1.042819,0.780919,0.00025000,2026-04-30T03:28:04Z
0,srnn-std-e-only-skip-per-neuron,0.082072,0.214777,0.080331,0.211951,0.00025000,2026-04-30T03:28:04Z
1,srnn-e-only-per-neuron,1.001325,0.767299,1.041871,0.780086,0.00050000,2026-04-30T03:32:11Z
1,srnn-e-only-skip-per-neuron,0.081691,0.214102,0.079671,0.210874,0.00050000,2026-04-30T03:32:11Z
1,srnn-sfa-e-only-per-neuron,1.011423,0.771635,1.048410,0.783097,0.00050000,2026-04-30T03:32:11Z
1,srnn-sfa-e-only-skip-per-neuron,0.092252,0.229531,0.085836,0.220243,0.00050000,2026-04-30T03:32:11Z
1,srnn-std-e-only-per-neuron,1.001685,0.767909,1.042133,0.780595,0.00050000,2026-04-30T03:32:11Z
1,srnn-std-e-only-skip-per-neuron,0.081972,0.214551,0.079874,0.211209,0.00050000,2026-04-30T03:32:11Z
2,srnn-e-only-per-neuron,1.000760,0.767112,1.041411,0.779935,0.00050000,2026-04-30T03:36:12Z
2,srnn-e-only-skip-per-neuron,0.081526,0.213805,0.079456,0.210534,0.00050000,2026-04-30T03:36:12Z
2,srnn-sfa-e-only-per-neuron,1.005504,0.769237,1.044659,0.781545,0.00050000,2026-04-30T03:36:12Z
2,srnn-sfa-e-only-skip-per-neuron,0.086067,0.220708,0.082101,0.214701,0.00050000,2026-04-30T03:36:12Z
2,srnn-std-e-only-per-neuron,1.000958,0.767552,1.041484,0.780282,0.00050000,2026-04-30T03:36:12Z
2,srnn-std-e-only-skip-per-neuron,0.081686,0.214049,0.079572,0.210723,0.00050000,2026-04-30T03:36:12Z
3,srnn-e-only-per-neuron,1.000309,0.766958,1.041061,0.779816,0.00050000,2026-04-30T03:40:22Z
3,srnn-e-only-skip-per-neuron,0.081858,0.214202,0.079361,0.210382,0.00050000,2026-04-30T03:40:22Z
3,srnn-sfa-e-only-per-neuron,1.002800,0.768149,1.043190,0.780907,0.00050000,2026-04-30T03:40:22Z
3,srnn-sfa-e-only-skip-per-neuron,0.084061,0.217627,0.080917,0.212877,0.00050000,2026-04-30T03:40:22Z
3,srnn-std-e-only-per-neuron,1.000397,0.767278,1.041005,0.780070,0.00050000,2026-04-30T03:40:22Z
3,srnn-std-e-only-skip-per-neuron,0.081950,0.214337,0.079439,0.210513,0.00050000,2026-04-30T03:40:22Z
4,srnn-e-only-per-neuron,0.999922,0.766810,1.040688,0.779659,0.00050000,2026-04-30T03:44:18Z
