epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-e-only-per-neuron,1.003431,0.768508,1.043759,0.781130,0.00025000,2026-04-29T20:30:28Z
0,srnn-e-only-skip-per-neuron,0.082659,0.215860,0.080882,0.212988,0.00025000,2026-04-29T20:30:28Z
1,srnn-e-only-per-neuron,1.002279,0.767990,1.042273,0.780504,0.00050000,2026-04-29T20:40:33Z
1,srnn-e-only-skip-per-neuron,0.084469,0.217937,0.079951,0.211389,0.00050000,2026-04-29T20:40:33Z
2,srnn-e-only-per-neuron,1.001122,0.767449,1.041609,0.780206,0.00050000,2026-04-29T20:50:37Z
2,srnn-e-only-skip-per-neuron,0.086459,0.220250,0.079501,0.210623,0.00050000,2026-04-29T20:50:37Z
3,srnn-e-only-per-neuron,1.000654,0.767243,1.041352,0.780103,0.00050000,2026-04-29T21:00:42Z
3,srnn-e-only-skip-per-neuron,0.089073,0.223493,0.079355,0.210370,0.00050000,2026-04-29T21:00:42Z
4,srnn-e-only-per-neuron,1.000402,0.767125,1.041175,0.780028,0.00050000,2026-04-29T21:10:47Z
4,srnn-e-only-skip-per-neuron,0.092000,0.227130,0.079286,0.210253,0.00050000,2026-04-29T21:10:47Z
5,srnn-e-only-per-neuron,1.000178,0.767038,1.041016,0.779977,0.00050000,2026-04-29T21:20:54Z
5,srnn-e-only-skip-per-neuron,0.095138,0.230991,0.079245,0.210185,0.00050000,2026-04-29T21:20:54Z
6,srnn-e-only-per-neuron,0.999942,0.766943,1.040797,0.779887,0.00050000,2026-04-29T21:31:00Z
6,srnn-e-only-skip-per-neuron,0.098474,0.235038,0.079220,0.210143,0.00050000,2026-04-29T21:31:00Z
7,srnn-e-only-per-neuron,0.999692,0.766842,1.040566,0.779782,0.00050000,2026-04-29T21:41:07Z
7,srnn-e-only-skip-per-neuron,0.102012,0.239263,0.079205,0.210119,0.00050000,2026-04-29T21:41:07Z
8,srnn-e-only-per-neuron,0.999422,0.766721,1.040279,0.779652,0.00050000,2026-04-29T21:51:13Z
8,srnn-e-only-skip-per-neuron,0.105763,0.243669,0.079195,0.210100,0.00050000,2026-04-29T21:51:13Z
9,srnn-e-only-per-neuron,0.999128,0.766606,1.039949,0.779539,0.00050000,2026-04-29T22:01:20Z
9,srnn-e-only-skip-per-neuron,0.109739,0.248263,0.079188,0.210088,0.00050000,2026-04-29T22:01:20Z
