# cl250-alpha-seg25-10e — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.97915           —           —     scalar
tau_d (s)                                 +0.1     +0.095697           0    0.001153        300
tau_a_E (s)                            +4.8777        +4.767       3.996       3.906        450
tau_b_rec_E (s)                             +1      +0.98053           0    0.004719        150
tau_b_rel_E (s)                          +0.25      +0.24447           0    0.001872        150
W_eff (E src, signed)                 +0.23267      +0.22952     0.07641     0.07538      15048
W_eff (I src, signed)                 -0.31062      -0.30635     0.07724      0.0762      14977
|W_eff| (E src)                       +0.23267      +0.22952     0.07641     0.07538      15048
|W_eff| (I src)                       +0.31062      +0.30635     0.07724      0.0762      14977
W_in_eff (input neurons)            -0.0003386   -0.00036664      0.1012      0.1036       6675
c_E (SFA coupling)                       +0.05      +0.05011           0   0.0004296        450
c_0_E (SFA offset)                          +0    -0.0020587           0     0.01032        450
a_0 (threshold)                          +0.35      +0.35122           0     0.01155        300
readout_weight                     -2.8854e-05   -3.1925e-05     0.06604      0.0669       6675
readout_bias                                +0   +0.00081339           0     0.01411         89
ic.ic (per-variant init)             +0.098875      +0.10327      0.3842      0.3848        900
