# cl250-alpha-seg25-10e — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0041           —           —     scalar
tau_d (s)                                 +0.1      +0.10235           0    0.001396        300
tau_a_E (s)                            +4.8777       +4.8207       3.996       3.951        450
tau_b_rec_E (s)                             +1       +1.0225           0    0.003211        150
tau_b_rel_E (s)                          +0.25      +0.24539           0    0.001116        150
W_eff (E src, signed)                 +0.23267      +0.22911     0.07641     0.07528      15048
W_eff (I src, signed)                 -0.31062      -0.30667     0.07724     0.07627      14977
|W_eff| (E src)                       +0.23267      +0.22911     0.07641     0.07528      15048
|W_eff| (I src)                       +0.31062      +0.30667     0.07724     0.07627      14977
W_in_eff (input neurons)           -0.00084237   -0.00093004      0.1008      0.0987       6675
c_E (SFA coupling)                       +0.05     +0.051356           0   0.0003076        450
c_0_E (SFA offset)                          +0     +0.028555           0    0.005884        450
a_0 (threshold)                          +0.35      +0.36955           0     0.01429        300
readout_weight                     +0.00078219   +0.00093101     0.06654     0.06129       6675
readout_bias                                +0    +9.946e-05           0    0.002534         89
ic.ic (per-variant init)             +0.098961      +0.12409       0.387       0.396        900
