# cl250-alpha-seg25-10e — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0069           —           —     scalar
tau_d (s)                                 +0.1      +0.10184           0   0.0009093        300
tau_a_E (s)                            +4.8777       +4.8558       3.996        3.98        450
tau_b_rec_E (s)                             +1       +1.0069           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25172           0           0        150
W_eff (E src, signed)                 +0.23267      +0.23026     0.07641     0.07565      15048
W_eff (I src, signed)                 -0.31062      -0.30761     0.07724      0.0765      14977
|W_eff| (E src)                       +0.23267      +0.23026     0.07641     0.07565      15048
|W_eff| (I src)                       +0.31062      +0.30761     0.07724      0.0765      14977
W_in_eff (input neurons)           -0.00015382    -6.446e-05     0.09934     0.09766       6675
c_E (SFA coupling)                       +0.05     +0.050861           0   0.0002694        450
c_0_E (SFA offset)                          +0     +0.019467           0     0.00589        450
a_0 (threshold)                          +0.35      +0.36162           0     0.01022        300
readout_weight                     -0.00098972    -0.0002994     0.06678     0.06555       6675
readout_bias                                +0    +0.0010083           0    0.008808         89
ic.ic (per-variant init)              +0.13078      +0.12284      0.4172      0.4019        900
