# cl250-alpha-seg25-10e — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0133           —           —     scalar
tau_d (s)                                 +0.1      +0.10347           0    0.001138        300
tau_a_E (s)                            +4.8777       +4.8751       3.996       3.997        450
tau_b_rec_E (s)                             +1       +1.0133           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25333           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22987     0.07641     0.07553      15048
W_eff (I src, signed)                 -0.31062      -0.30725     0.07724     0.07641      14977
|W_eff| (E src)                       +0.23267      +0.22987     0.07641     0.07553      15048
|W_eff| (I src)                       +0.31062      +0.30725     0.07724     0.07641      14977
W_in_eff (input neurons)            -0.0011621   -0.00082511     0.09962     0.09705       6675
c_E (SFA coupling)                       +0.05     +0.051057           0   0.0002806        450
c_0_E (SFA offset)                          +0      +0.02456           0    0.005836        450
a_0 (threshold)                          +0.35      +0.36477           0     0.01225        300
readout_weight                     +0.00016801   +0.00010628      0.0673     0.06379       6675
readout_bias                                +0   +4.3758e-05           0    0.007891         89
ic.ic (per-variant init)              +0.09231      +0.12403      0.5294      0.4013        900
