# cl250-alpha-seg25-10e — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0007           —           —     scalar
tau_d (s)                                 +0.1      +0.10209           0    0.001385        300
tau_a_E (s)                           +0.69315      +0.69366           0           0        450
tau_b_rec_E (s)                             +1       +1.0198           0    0.003154        150
tau_b_rel_E (s)                          +0.25      +0.24446           0    0.001079        150
W_eff (E src, signed)                 +0.23267      +0.22886     0.07641      0.0752      15048
W_eff (I src, signed)                 -0.31062      -0.30635     0.07724     0.07619      14977
|W_eff| (E src)                       +0.23267      +0.22886     0.07641      0.0752      15048
|W_eff| (I src)                       +0.31062      +0.30635     0.07724     0.07619      14977
W_in_eff (input neurons)           +0.00036119   +0.00031513     0.09956     0.09858       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36931           0     0.01434        300
readout_weight                     +0.00055372   -0.00044298     0.06572     0.06039       6675
readout_bias                                +0   -0.00058261           0     0.00371         89
ic.ic (per-variant init)             +0.089141      +0.11144      0.3857      0.3981        900
