epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-e-only-per-neuron,1.001688,0.767421,1.042382,0.780258,0.00025000,2026-04-30T00:37:30Z
0,srnn-e-only-skip-per-neuron,0.081699,0.214174,0.080012,0.211407,0.00025000,2026-04-30T00:37:30Z
0,srnn-sfa-e-only-per-neuron,1.016220,0.773589,1.055633,0.785988,0.00025000,2026-04-30T00:37:30Z
0,srnn-sfa-e-only-skip-per-neuron,0.097293,0.236494,0.092695,0.230019,0.00025000,2026-04-30T00:37:30Z
0,srnn-std-e-only-per-neuron,1.002156,0.768131,1.042819,0.780919,0.00025000,2026-04-30T00:37:30Z
0,srnn-std-e-only-skip-per-neuron,0.082072,0.214777,0.080331,0.211951,0.00025000,2026-04-30T00:37:30Z
1,srnn-e-only-per-neuron,1.001327,0.767297,1.041870,0.780086,0.00050000,2026-04-30T00:41:30Z
1,srnn-e-only-skip-per-neuron,0.085909,0.219559,0.079668,0.210870,0.00050000,2026-04-30T00:41:30Z
1,srnn-sfa-e-only-per-neuron,1.011315,0.771591,1.048422,0.783099,0.00050000,2026-04-30T00:41:30Z
1,srnn-sfa-e-only-skip-per-neuron,0.097145,0.235588,0.085785,0.220170,0.00050000,2026-04-30T00:41:30Z
1,srnn-std-e-only-per-neuron,1.001686,0.767910,1.042133,0.780595,0.00050000,2026-04-30T00:41:30Z
1,srnn-std-e-only-skip-per-neuron,0.086210,0.220027,0.079871,0.211204,0.00050000,2026-04-30T00:41:30Z
2,srnn-e-only-per-neuron,1.000757,0.767108,1.041411,0.779936,0.00050000,2026-04-30T00:45:29Z
2,srnn-e-only-skip-per-neuron,0.088431,0.222590,0.079450,0.210526,0.00050000,2026-04-30T00:45:29Z
2,srnn-sfa-e-only-per-neuron,1.005304,0.769142,1.044701,0.781557,0.00050000,2026-04-30T00:45:29Z
2,srnn-sfa-e-only-skip-per-neuron,0.093443,0.229894,0.082016,0.214571,0.00050000,2026-04-30T00:45:29Z
2,srnn-std-e-only-per-neuron,1.000951,0.767551,1.041483,0.780281,0.00050000,2026-04-30T00:45:29Z
2,srnn-std-e-only-skip-per-neuron,0.088608,0.222851,0.079565,0.210713,0.00050000,2026-04-30T00:45:29Z
3,srnn-e-only-per-neuron,1.000293,0.766945,1.041060,0.779819,0.00050000,2026-04-30T00:49:42Z
3,srnn-e-only-skip-per-neuron,0.104194,0.241924,0.079352,0.210367,0.00050000,2026-04-30T00:49:42Z
3,srnn-sfa-e-only-per-neuron,1.002473,0.768001,1.043247,0.780930,0.00050000,2026-04-30T00:49:42Z
3,srnn-sfa-e-only-skip-per-neuron,0.107205,0.246065,0.080820,0.212731,0.00050000,2026-04-30T00:49:42Z
3,srnn-std-e-only-per-neuron,1.000367,0.767270,1.041003,0.780067,0.00050000,2026-04-30T00:49:42Z
3,srnn-std-e-only-skip-per-neuron,0.104320,0.242091,0.079426,0.210495,0.00050000,2026-04-30T00:49:42Z
4,srnn-e-only-per-neuron,0.999917,0.766808,1.040684,0.779662,0.00050000,2026-04-30T00:53:33Z
4,srnn-e-only-skip-per-neuron,0.092147,0.226572,0.079298,0.210278,0.00050000,2026-04-30T00:53:33Z
4,srnn-sfa-e-only-per-neuron,1.001691,0.767704,1.042606,0.780657,0.00050000,2026-04-30T00:53:33Z
4,srnn-sfa-e-only-skip-per-neuron,0.093681,0.228827,0.080345,0.211993,0.00050000,2026-04-30T00:53:33Z
4,srnn-std-e-only-per-neuron,0.999955,0.767086,1.040558,0.779897,0.00050000,2026-04-30T00:53:33Z
