epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.317149,0.120019,2.312679,0.104833,0.00012501,2026-04-14T13:34:14Z
1,2.181603,0.205815,2.071259,0.245500,0.00025000,2026-04-14T13:34:19Z
2,1.986193,0.300815,1.924984,0.309167,0.00037500,2026-04-14T13:34:24Z
3,1.914593,0.338259,1.784229,0.413167,0.00050000,2026-04-14T13:34:28Z
4,1.727318,0.414370,1.666523,0.431333,0.00050000,2026-04-14T13:34:33Z
5,1.690920,0.409741,1.492862,0.475000,0.00050000,2026-04-14T13:34:37Z
6,1.494889,0.474704,1.415197,0.495333,0.00050000,2026-04-14T13:34:42Z
7,1.350488,0.512389,1.246374,0.528833,0.00050000,2026-04-14T13:34:47Z
8,1.241143,0.563259,1.112981,0.635167,0.00050000,2026-04-14T13:34:51Z
9,1.122769,0.622389,0.986776,0.687167,0.00050000,2026-04-14T13:34:56Z
10,1.086295,0.628352,0.903810,0.705500,0.00050000,2026-04-14T13:35:01Z
11,0.926937,0.688796,0.851931,0.718833,0.00050000,2026-04-14T13:35:06Z
12,0.868535,0.711778,0.770660,0.755000,0.00050000,2026-04-14T13:35:11Z
13,0.795129,0.740444,0.694496,0.784333,0.00050000,2026-04-14T13:35:15Z
14,0.761336,0.754259,0.677802,0.795000,0.00046818,2026-04-14T13:35:20Z
15,0.711380,0.775074,0.583747,0.840167,0.00038125,2026-04-14T13:35:25Z
16,0.665548,0.791889,0.548240,0.842333,0.00026250,2026-04-14T13:35:29Z
17,0.632423,0.802963,0.515892,0.859667,0.00014375,2026-04-14T13:35:34Z
18,0.616715,0.809333,0.510584,0.861167,0.00005682,2026-04-14T13:35:39Z
19,0.607141,0.812815,0.503817,0.864000,0.00002500,2026-04-14T13:35:44Z
