epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.322647,0.113259,2.313340,0.105000,0.00012501,2026-04-14T13:35:29Z
1,2.307816,0.116648,2.303844,0.105000,0.00025000,2026-04-14T13:36:27Z
2,2.289392,0.131556,2.237703,0.173333,0.00037500,2026-04-14T13:37:27Z
3,2.199380,0.176611,2.216330,0.147333,0.00050000,2026-04-14T13:38:26Z
4,2.159995,0.187833,2.190257,0.157167,0.00050000,2026-04-14T13:39:26Z
5,2.124509,0.205537,2.150997,0.204000,0.00050000,2026-04-14T13:40:24Z
6,2.054486,0.236407,2.018073,0.243667,0.00050000,2026-04-14T13:41:23Z
7,2.025915,0.250426,2.012700,0.244000,0.00050000,2026-04-14T13:42:23Z
8,2.006830,0.253889,1.974225,0.254000,0.00050000,2026-04-14T13:43:22Z
9,1.982996,0.263685,2.008129,0.243667,0.00050000,2026-04-14T13:44:21Z
10,1.970253,0.266778,1.997264,0.248500,0.00050000,2026-04-14T13:45:23Z
11,1.957106,0.271722,2.022011,0.239167,0.00050000,2026-04-14T13:46:23Z
12,1.936264,0.276333,1.945193,0.259667,0.00050000,2026-04-14T13:47:21Z
13,2.036127,0.243741,2.089352,0.195500,0.00050000,2026-04-14T13:48:20Z
14,2.000486,0.246833,2.010719,0.234667,0.00046818,2026-04-14T13:49:18Z
15,1.963928,0.257574,1.989206,0.240500,0.00038125,2026-04-14T13:50:18Z
16,1.947031,0.263426,1.951814,0.246000,0.00026250,2026-04-14T13:51:17Z
17,1.928747,0.268296,1.934590,0.251833,0.00014375,2026-04-14T13:52:15Z
18,1.902491,0.286056,1.922526,0.269667,0.00005682,2026-04-14T13:53:14Z
19,1.946688,0.261074,1.942713,0.250333,0.00002500,2026-04-14T13:54:13Z
