epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.315176,0.097130,2.308948,0.127333,0.00012501,2026-04-14T13:37:27Z
1,2.305481,0.101852,2.292681,0.111333,0.00025000,2026-04-14T13:39:31Z
2,2.278782,0.130981,2.253379,0.227667,0.00037500,2026-04-14T13:41:32Z
3,2.217478,0.233167,2.166943,0.241500,0.00050000,2026-04-14T13:43:32Z
4,2.122288,0.262519,2.063311,0.260833,0.00050000,2026-04-14T13:45:33Z
5,2.044936,0.276389,1.991611,0.260667,0.00050000,2026-04-14T13:47:31Z
6,1.997303,0.292907,1.937878,0.307833,0.00050000,2026-04-14T13:49:31Z
7,1.942310,0.305537,1.903397,0.311833,0.00050000,2026-04-14T13:51:34Z
8,1.924075,0.313907,1.875026,0.335667,0.00050000,2026-04-14T13:53:35Z
9,1.905498,0.315852,1.853146,0.349667,0.00050000,2026-04-14T13:55:34Z
10,1.880851,0.325259,1.833989,0.348333,0.00050000,2026-04-14T13:57:42Z
11,1.858436,0.330278,1.790617,0.369500,0.00050000,2026-04-14T13:59:40Z
12,1.832074,0.337444,1.769250,0.369667,0.00050000,2026-04-14T14:01:36Z
13,1.804670,0.348722,1.738584,0.365833,0.00050000,2026-04-14T14:03:32Z
14,1.786146,0.350500,1.761391,0.354000,0.00046818,2026-04-14T14:05:27Z
15,1.771840,0.354389,1.713510,0.367000,0.00038125,2026-04-14T14:07:24Z
