epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.317295,0.103037,2.310087,0.111333,0.00012501,2026-04-14T13:36:26Z
1,2.308995,0.103556,2.303464,0.111333,0.00025000,2026-04-14T13:38:03Z
2,2.300084,0.104093,2.292638,0.120000,0.00037500,2026-04-14T13:39:37Z
3,2.254991,0.161722,2.171540,0.255833,0.00050000,2026-04-14T13:41:07Z
4,2.133154,0.250963,2.054623,0.289333,0.00050000,2026-04-14T13:42:36Z
5,2.041410,0.288611,1.985774,0.326667,0.00050000,2026-04-14T13:44:07Z
6,1.984796,0.312204,1.922615,0.359333,0.00050000,2026-04-14T13:45:39Z
7,1.968998,0.302481,1.881842,0.355667,0.00050000,2026-04-14T13:47:13Z
8,1.934269,0.319815,1.859881,0.365000,0.00050000,2026-04-14T13:48:43Z
9,1.898304,0.333833,1.837371,0.370000,0.00050000,2026-04-14T13:50:15Z
10,1.946552,0.310759,1.818499,0.372333,0.00050000,2026-04-14T13:51:53Z
11,1.889412,0.331926,1.825143,0.362833,0.00050000,2026-04-14T13:53:29Z
12,1.860993,0.345611,1.796280,0.370167,0.00050000,2026-04-14T13:54:58Z
13,1.824982,0.354519,1.778085,0.376167,0.00050000,2026-04-14T13:56:27Z
14,1.819192,0.361722,1.754819,0.384500,0.00046818,2026-04-14T13:57:50Z
15,1.889738,0.341944,1.761248,0.400667,0.00038125,2026-04-14T13:59:14Z
16,1.806875,0.365722,1.743535,0.398000,0.00026250,2026-04-14T14:00:40Z
17,1.792088,0.371796,1.738540,0.394333,0.00014375,2026-04-14T14:02:05Z
18,1.784968,0.377963,1.736070,0.398167,0.00005682,2026-04-14T14:03:29Z
19,1.781308,0.378204,1.727526,0.400000,0.00002500,2026-04-14T14:04:56Z
