epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.317486,0.103037,2.310193,0.111333,0.00012501,2026-04-14T13:36:38Z
1,2.309135,0.103556,2.303634,0.111333,0.00025000,2026-04-14T13:38:10Z
2,2.300773,0.103648,2.294153,0.111333,0.00037500,2026-04-14T13:39:43Z
3,2.280454,0.136148,2.236084,0.195333,0.00050000,2026-04-14T13:41:14Z
4,2.169147,0.214685,2.108778,0.243667,0.00050000,2026-04-14T13:42:47Z
5,2.074964,0.266944,2.048426,0.275667,0.00050000,2026-04-14T13:44:11Z
6,2.029700,0.290852,2.004440,0.288833,0.00050000,2026-04-14T13:45:40Z
7,2.011419,0.285056,1.978602,0.300167,0.00050000,2026-04-14T13:47:09Z
8,1.976124,0.316426,1.935613,0.327833,0.00050000,2026-04-14T13:48:35Z
9,1.941745,0.309685,1.920902,0.316667,0.00050000,2026-04-14T13:50:01Z
10,1.935522,0.323685,1.874449,0.350000,0.00050000,2026-04-14T13:51:39Z
11,1.962337,0.291556,1.899607,0.318833,0.00050000,2026-04-14T13:53:10Z
12,1.904444,0.335611,1.850067,0.358000,0.00050000,2026-04-14T13:54:42Z
13,1.895996,0.327704,1.858871,0.334833,0.00050000,2026-04-14T13:56:15Z
14,1.866686,0.344926,1.807305,0.364333,0.00046818,2026-04-14T13:57:41Z
15,1.891564,0.325444,1.818369,0.355333,0.00038125,2026-04-14T13:59:08Z
16,1.850984,0.347944,1.786308,0.370333,0.00026250,2026-04-14T14:00:41Z
17,1.887581,0.328759,1.806764,0.355833,0.00014375,2026-04-14T14:02:08Z
18,1.850703,0.347389,1.791572,0.362667,0.00005682,2026-04-14T14:03:24Z
19,1.903517,0.318481,1.828422,0.338000,0.00002500,2026-04-14T14:04:43Z
