epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.394494,0.099222,2.362553,0.100000,0.00012501,2026-04-14T13:35:56Z
1,2.322698,0.102204,2.286010,0.122667,0.00025000,2026-04-14T13:36:32Z
2,2.263785,0.140574,2.225164,0.193333,0.00037500,2026-04-14T13:37:07Z
3,2.196076,0.204741,2.156962,0.218167,0.00050000,2026-04-14T13:37:43Z
4,2.104436,0.244796,2.048954,0.230333,0.00050000,2026-04-14T13:38:20Z
5,2.095171,0.246833,2.027770,0.248500,0.00050000,2026-04-14T13:38:55Z
6,1.997106,0.296167,1.960974,0.302833,0.00050000,2026-04-14T13:39:30Z
7,1.995577,0.293611,1.932661,0.322167,0.00050000,2026-04-14T13:40:08Z
8,1.917268,0.315000,1.862829,0.337333,0.00050000,2026-04-14T13:40:44Z
9,1.877538,0.318722,1.835476,0.341500,0.00050000,2026-04-14T13:41:21Z
10,1.873551,0.318889,1.825271,0.330667,0.00050000,2026-04-14T13:42:01Z
11,1.830977,0.327296,1.789826,0.333333,0.00050000,2026-04-14T13:42:38Z
12,1.818709,0.338722,1.771621,0.339000,0.00050000,2026-04-14T13:43:14Z
13,1.787933,0.347537,1.764551,0.337833,0.00050000,2026-04-14T13:43:50Z
14,1.764086,0.359019,1.736691,0.364000,0.00046818,2026-04-14T13:44:24Z
15,1.774506,0.356204,1.732799,0.346667,0.00038125,2026-04-14T13:44:59Z
16,1.736109,0.369130,1.724156,0.370167,0.00026250,2026-04-14T13:45:35Z
17,1.724578,0.374296,1.703809,0.379833,0.00014375,2026-04-14T13:46:10Z
18,1.756898,0.364074,1.736745,0.369500,0.00005682,2026-04-14T13:46:45Z
19,1.746855,0.365111,1.705406,0.365333,0.00002500,2026-04-14T13:47:20Z
