epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-no-adapt-no-dales,10.472486,1.778576,17.898071,2.399293,0.00050000,2026-08-26T14:06:39Z
0,srnn-no-adapt,10.616252,1.797874,18.008774,2.404912,0.00050000,2026-08-26T14:06:39Z
0,srnn-no-dales-skip,35.586884,3.042159,63.786294,4.385505,0.00050000,2026-08-26T14:06:39Z
0,srnn-no-adapt-no-dales-skip,35.686418,3.172659,63.840516,4.457137,0.00050000,2026-08-26T14:06:39Z
0,srnn,10.455644,1.730143,17.915939,2.371676,0.00050000,2026-08-26T14:06:39Z
0,srnn-skip,35.590079,3.042248,63.793542,4.385706,0.00050000,2026-08-26T14:06:39Z
1,srnn-no-adapt-no-dales,10.168604,1.719809,17.857313,2.377107,0.00050000,2026-08-26T14:10:27Z
1,srnn-no-adapt,10.252173,1.729646,17.930641,2.377667,0.00050000,2026-08-26T14:10:27Z
1,srnn-no-dales-skip,34.742379,3.001383,63.764338,4.384923,0.00050000,2026-08-26T14:10:27Z
1,srnn-no-adapt-no-dales-skip,34.776887,3.051396,63.793894,4.418508,0.00050000,2026-08-26T14:10:27Z
1,srnn,10.195783,1.701899,17.904079,2.365697,0.00050000,2026-08-26T14:10:27Z
1,srnn-skip,34.747106,3.000986,63.770163,4.384592,0.00050000,2026-08-26T14:10:27Z
2,srnn-no-adapt-no-dales,10.296886,1.713385,17.841761,2.364458,0.00050000,2026-08-26T14:14:16Z
2,srnn-no-adapt,10.349930,1.720204,17.896533,2.367562,0.00050000,2026-08-26T14:14:16Z
2,srnn-no-dales-skip,35.215332,3.023595,63.734885,4.383431,0.00050000,2026-08-26T14:14:16Z
2,srnn-no-adapt-no-dales-skip,35.235887,3.047965,63.754911,4.395845,0.00050000,2026-08-26T14:14:16Z
2,srnn,10.344093,1.708200,17.894386,2.361257,0.00050000,2026-08-26T14:14:16Z
2,srnn-skip,35.211230,3.022836,63.717619,4.382110,0.00050000,2026-08-26T14:14:16Z
