# filt150-whoist-cl — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.47578           —           —     scalar
tau_d (s)                                 +0.1     +0.016737           0     0.00425        300
tau_a_E[j=0] (s)                         +0.25     +0.048089           0     0.01173        150
tau_a_E[j=1] (s)                       +4.3832       +1.0284           0     0.01272        150
tau_a_E[j=2] (s)                           +10       +2.3605           0    0.003405        150
tau_b_rec_E (s)                             +1      +0.18445           0     0.02652        150
tau_b_rel_E (s)                          +0.25      +0.15944           0     0.01977        150
W_eff (E src, signed)                 +0.23267      +0.18737     0.07641     0.06416      15048
W_eff (I src, signed)                 -0.31062      -0.24715     0.07724     0.06573      14977
|W_eff| (E src)                       +0.23267      +0.18737     0.07641     0.06416      15048
|W_eff| (I src)                       +0.31062      +0.24715     0.07724     0.06573      14977
W_in_eff (input neurons)           -0.00084237   -0.00018698      0.1008     0.04121       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.087854           0     0.02116        150
c_E[j=1] (SFA coupling)                  +0.05     +0.073544           0     0.00723        150
c_E[j=2] (SFA coupling)                  +0.05     +0.073719           0    0.007041        150
c_0_E[j=0] (SFA offset)                     +0      -0.16547           0       0.119        150
c_0_E[j=1] (SFA offset)                     +0      -0.18917           0      0.1404        150
c_0_E[j=2] (SFA offset)                     +0      -0.19005           0      0.1373        150
a_0 (threshold)                          +0.35      +0.17463           0      0.1116        300
readout_weight                     +0.00078219    -0.0060208     0.06654      0.1114       6675
readout_bias                                +0      +0.11339           0      0.1413         89
ic.ic (per-variant init)              +0.10327      +0.10327      0.3829      0.3829        900
