# filt150-whoist-cl — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.48155           —           —     scalar
tau_d (s)                                 +0.1     +0.016454           0    0.004318        300
tau_a_E[j=0] (s)                         +0.25     +0.059444           0     0.01066        150
tau_a_E[j=1] (s)                       +4.3832       +1.1899           0     0.03563        150
tau_a_E[j=2] (s)                           +10       +2.7205           0     0.03012        150
tau_b_rec_E (s)                             +1      +0.48155           0           0        150
tau_b_rel_E (s)                          +0.25      +0.12039           0           0        150
W_eff (E src, signed)                 +0.23267      +0.15906     0.07641     0.05404      15048
W_eff (I src, signed)                 -0.31062      -0.21111     0.07724     0.05514      14977
|W_eff| (E src)                       +0.23267      +0.15906     0.07641     0.05404      15048
|W_eff| (I src)                       +0.31062      +0.21111     0.07724     0.05514      14977
W_in_eff (input neurons)           -0.00015382    -0.0018988     0.09934      0.1058       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.059055           0     0.01004        150
c_E[j=1] (SFA coupling)                  +0.05     +0.055178           0    0.005836        150
c_E[j=2] (SFA coupling)                  +0.05     +0.054901           0    0.005454        150
c_0_E[j=0] (SFA offset)                     +0      -0.12002           0     0.09616        150
c_0_E[j=1] (SFA offset)                     +0      -0.14143           0      0.1268        150
c_0_E[j=2] (SFA offset)                     +0      -0.14277           0      0.1289        150
a_0 (threshold)                          +0.35      +0.25079           0     0.07603        300
readout_weight                     -0.00098972    +0.0080247     0.06678      0.1459       6675
readout_bias                                +0     -0.049068           0     0.07967         89
ic.ic (per-variant init)              +0.13078      +0.13078      0.4172      0.4172        900
