# filt150-whoist-cl — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0025           —           —     scalar
tau_d (s)                                 +0.1      +0.10099           0    0.004256        300
tau_a_E[j=0] (s)                         +0.25      +0.24063           0     0.01187        150
tau_a_E[j=1] (s)                       +4.3832       +4.2843           0      0.0225        150
tau_a_E[j=2] (s)                           +10       +9.7946           0    0.008763        150
tau_b_rec_E (s)                             +1       +1.0025           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25062           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22876     0.07641     0.07536      15048
W_eff (I src, signed)                 -0.31062      -0.30562     0.07724      0.0763      14977
|W_eff| (E src)                       +0.23267      +0.22876     0.07641     0.07536      15048
|W_eff| (I src)                       +0.31062      +0.30562     0.07724      0.0763      14977
W_in_eff (input neurons)            -0.0011621     -0.001351     0.09962     0.09224       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.052185           0    0.006185        150
c_E[j=1] (SFA coupling)                  +0.05     +0.052166           0    0.002861        150
c_E[j=2] (SFA coupling)                  +0.05     +0.052257           0    0.002554        150
c_0_E[j=0] (SFA offset)                     +0     +0.041002           0     0.03882        150
c_0_E[j=1] (SFA offset)                     +0     +0.043201           0     0.03161        150
c_0_E[j=2] (SFA offset)                     +0     +0.043341           0      0.0294        150
a_0 (threshold)                          +0.35      +0.38207           0     0.03816        300
readout_weight                     +0.00016801    -0.0010836      0.0673     0.06018       6675
readout_bias                                +0    +0.0053543           0    0.008919         89
ic.ic (per-variant init)              +0.09231      +0.09231      0.5294      0.5294        900
