# filt150-whoist-cl — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.50341           —           —     scalar
tau_d (s)                                 +0.1     +0.019157           0    0.004312        300
tau_b_rec_E (s)                             +1      +0.22586           0     0.03093        150
tau_b_rel_E (s)                          +0.25      +0.15146           0     0.01657        150
W_eff (E src, signed)                 +0.23267       +0.2203     0.07641     0.07476      15048
W_eff (I src, signed)                 -0.31062      -0.29216     0.07724     0.07702      14977
|W_eff| (E src)                       +0.23267       +0.2203     0.07641     0.07476      15048
|W_eff| (I src)                       +0.31062      +0.29216     0.07724     0.07702      14977
W_in_eff (input neurons)           +0.00036119   +0.00040633     0.09956     0.04801       6675
a_0 (threshold)                          +0.35      +0.25135           0      0.1014        300
readout_weight                     +0.00055372   +0.00015984     0.06572     0.09561       6675
readout_bias                                +0     -0.028081           0      0.1108         89
ic.ic (per-variant init)             +0.083543     +0.083543       0.384       0.384        900
