epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.998053,0.765882,1.039482,0.778960,0.00025000,2026-05-05T17:44:30Z
11,srnn-e-only-skip-per-neuron,0.117712,0.256060,0.079233,0.210163,0.00025000,2026-05-05T17:44:30Z
11,srnn-sfa-e-only-per-neuron,1.000393,0.767205,1.042476,0.780617,0.00025000,2026-05-05T17:44:30Z
11,srnn-sfa-e-only-skip-per-neuron,0.119874,0.258877,0.080448,0.212156,0.00025000,2026-05-05T17:44:30Z
11,srnn-std-e-only-per-neuron,0.998153,0.766599,1.039535,0.779714,0.00025000,2026-05-05T17:44:30Z
11,srnn-std-e-only-skip-per-neuron,0.117766,0.256137,0.079261,0.210222,0.00025000,2026-05-05T17:44:30Z
23,srnn-e-only-per-neuron,0.976400,0.756568,1.017617,0.769915,0.00050000,2026-05-05T17:49:27Z
23,srnn-e-only-skip-per-neuron,0.120911,0.259801,0.079158,0.210042,0.00050000,2026-05-05T17:49:27Z
23,srnn-sfa-e-only-per-neuron,0.994347,0.764686,1.034525,0.777459,0.00050000,2026-05-05T17:49:27Z
23,srnn-sfa-e-only-skip-per-neuron,0.121469,0.260550,0.079477,0.210596,0.00050000,2026-05-05T17:49:27Z
23,srnn-std-e-only-per-neuron,0.970463,0.757671,1.011434,0.771170,0.00050000,2026-05-05T17:49:27Z
23,srnn-std-e-only-skip-per-neuron,0.120928,0.259824,0.079165,0.210053,0.00050000,2026-05-05T17:49:27Z
35,srnn-e-only-per-neuron,0.931175,0.739437,0.976453,0.755595,0.00050000,2026-05-05T17:54:22Z
35,srnn-e-only-skip-per-neuron,0.117218,0.255282,0.078805,0.209503,0.00050000,2026-05-05T17:54:22Z
35,srnn-sfa-e-only-per-neuron,0.961605,0.752452,1.000909,0.765634,0.00050000,2026-05-05T17:54:22Z
35,srnn-sfa-e-only-skip-per-neuron,0.117943,0.256237,0.079278,0.210252,0.00050000,2026-05-05T17:54:22Z
35,srnn-std-e-only-per-neuron,0.923895,0.739623,0.973172,0.756927,0.00050000,2026-05-05T17:54:22Z
35,srnn-std-e-only-skip-per-neuron,0.117581,0.255758,0.079053,0.209879,0.00050000,2026-05-05T17:54:22Z
47,srnn-e-only-per-neuron,0.885069,0.722444,0.933947,0.741095,0.00050000,2026-05-05T17:59:19Z
47,srnn-e-only-skip-per-neuron,0.120459,0.259271,0.077355,0.207358,0.00050000,2026-05-05T17:59:19Z
47,srnn-sfa-e-only-per-neuron,0.924417,0.738895,0.971426,0.756012,0.00050000,2026-05-05T17:59:19Z
47,srnn-sfa-e-only-skip-per-neuron,0.124027,0.263613,0.079212,0.210139,0.00050000,2026-05-05T17:59:19Z
47,srnn-std-e-only-per-neuron,0.891870,0.726956,0.947046,0.746922,0.00050000,2026-05-05T17:59:19Z
47,srnn-std-e-only-skip-per-neuron,0.121751,0.260837,0.077887,0.208182,0.00050000,2026-05-05T17:59:19Z
59,srnn-e-only-per-neuron,0.848414,0.708147,0.895482,0.726578,0.00050000,2026-05-05T18:04:19Z
59,srnn-e-only-skip-per-neuron,0.119743,0.258528,0.075472,0.204668,0.00050000,2026-05-05T18:04:19Z
59,srnn-sfa-e-only-per-neuron,0.882865,0.723210,0.935503,0.743045,0.00050000,2026-05-05T18:04:19Z
59,srnn-sfa-e-only-skip-per-neuron,0.127393,0.267507,0.079183,0.210089,0.00050000,2026-05-05T18:04:19Z
59,srnn-std-e-only-per-neuron,0.866960,0.716935,0.924496,0.738573,0.00050000,2026-05-05T18:04:19Z
59,srnn-std-e-only-skip-per-neuron,0.120910,0.259799,0.076150,0.205566,0.00050000,2026-05-05T18:04:19Z
71,srnn-e-only-per-neuron,0.811509,0.692896,0.851467,0.708997,0.00050000,2026-05-05T18:09:17Z
71,srnn-e-only-skip-per-neuron,0.112391,0.250194,0.073240,0.201683,0.00050000,2026-05-05T18:09:17Z
71,srnn-sfa-e-only-per-neuron,0.846189,0.708518,0.896192,0.728113,0.00050000,2026-05-05T18:09:17Z
71,srnn-sfa-e-only-skip-per-neuron,0.124020,0.263551,0.079161,0.210053,0.00050000,2026-05-05T18:09:17Z
