# frz150-a0c0e-cl — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37475           —           —     scalar
tau_d (s)                                 +0.1    +0.0093965           0    0.004008        300
tau_a_E[j=0] (s)                         +0.25     +0.018205           0      0.0071        150
tau_a_E[j=1] (s)                       +4.3832      +0.50243           0     0.01512        150
tau_a_E[j=2] (s)                           +10       +1.1475           0    0.006022        150
tau_b_rec_E (s)                             +1       +0.1144           0      0.0215        150
tau_b_rel_E (s)                          +0.25       +0.2291           0     0.05166        150
W_eff (E src, signed)                 +0.23267      +0.16102     0.07641     0.06004      15048
W_eff (I src, signed)                 -0.31062      -0.20807     0.07724     0.06089      14977
|W_eff| (E src)                       +0.23267      +0.16102     0.07641     0.06004      15048
|W_eff| (I src)                       +0.31062      +0.20807     0.07724     0.06089      14977
W_in_eff (input neurons)           -0.00084237   -0.00021733      0.1008     0.02974       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.064445           0     0.02727        150
c_E[j=1] (SFA coupling)                  +0.05     +0.038848           0    0.009048        150
c_E[j=2] (SFA coupling)                  +0.05     +0.039301           0     0.00884        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00078219    -0.0041568     0.06654      0.1669       6675
readout_bias                                +0     +0.075051           0     0.09914         89
ic.ic (per-variant init)              +0.10327      +0.10327      0.3829      0.3829        900
