# frz150-a0c0e-cl — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.31358           —           —     scalar
tau_d (s)                                 +0.1    +0.0061526           0    0.002533        300
tau_a_E[j=0] (s)                         +0.25      +0.01798           0    0.005394        150
tau_a_E[j=1] (s)                       +4.3832       +0.4452           0     0.02597        150
tau_a_E[j=2] (s)                           +10       +1.0277           0      0.0222        150
tau_b_rec_E (s)                             +1      +0.31358           0           0        150
tau_b_rel_E (s)                          +0.25     +0.078396           0           0        150
W_eff (E src, signed)                 +0.23267      +0.13831     0.07641     0.04941      15048
W_eff (I src, signed)                 -0.31062      -0.18211     0.07724     0.05093      14977
|W_eff| (E src)                       +0.23267      +0.13831     0.07641     0.04941      15048
|W_eff| (I src)                       +0.31062      +0.18211     0.07724     0.05093      14977
W_in_eff (input neurons)           -0.00015382    -0.0014175     0.09934     0.05862       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.059952           0     0.01667        150
c_E[j=1] (SFA coupling)                  +0.05     +0.044852           0    0.007163        150
c_E[j=2] (SFA coupling)                  +0.05     +0.044457           0    0.007396        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     -0.00098972    +0.0075209     0.06678      0.2081       6675
readout_bias                                +0      -0.06755           0      0.1037         89
ic.ic (per-variant init)              +0.13078      +0.13078      0.4172      0.4172        900
