# frz150-a0c0e-cl — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.88066           —           —     scalar
tau_d (s)                                 +0.1      +0.07556           0    0.004313        300
tau_a_E[j=0] (s)                         +0.25      +0.20439           0     0.01152        150
tau_a_E[j=1] (s)                       +4.3832       +3.6736           0     0.03808        150
tau_a_E[j=2] (s)                           +10       +8.4115           0     0.01464        150
tau_b_rec_E (s)                             +1      +0.88066           0           0        150
tau_b_rel_E (s)                          +0.25      +0.22016           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22712     0.07641     0.07492      15048
W_eff (I src, signed)                 -0.31062      -0.30339     0.07724      0.0758      14977
|W_eff| (E src)                       +0.23267      +0.22712     0.07641     0.07492      15048
|W_eff| (I src)                       +0.31062      +0.30339     0.07724      0.0758      14977
W_in_eff (input neurons)            -0.0011621   -0.00093949     0.09962     0.09398       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.052804           0     0.00683        150
c_E[j=1] (SFA coupling)                  +0.05      +0.05201           0   0.0008557        150
c_E[j=2] (SFA coupling)                  +0.05     +0.051995           0    0.001086        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00016801    -0.0043514      0.0673     0.06344       6675
readout_bias                                +0    +0.0042362           0    0.008181         89
ic.ic (per-variant init)              +0.09231      +0.09231      0.5294      0.5294        900
