# frz150-a0c0e-cl — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37754           —           —     scalar
tau_d (s)                                 +0.1    +0.0096444           0    0.003793        300
tau_b_rec_E (s)                             +1      +0.12067           0     0.02221        150
tau_b_rel_E (s)                          +0.25      +0.21729           0     0.04691        150
W_eff (E src, signed)                 +0.23267      +0.16627     0.07641     0.06157      15048
W_eff (I src, signed)                 -0.31062       -0.2153     0.07724     0.06187      14977
|W_eff| (E src)                       +0.23267      +0.16627     0.07641     0.06157      15048
|W_eff| (I src)                       +0.31062       +0.2153     0.07724     0.06187      14977
W_in_eff (input neurons)           +0.00036119   +0.00041135     0.09956     0.03142       6675
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00055372    -0.0028452     0.06572      0.1506       6675
readout_bias                                +0    +0.0040465           0     0.06836         89
ic.ic (per-variant init)             +0.083543     +0.083543       0.384       0.384        900
