epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.998162,0.766097,1.039497,0.779096,0.00025000,2026-05-05T20:54:29Z
11,srnn-e-only-skip-per-neuron,0.104393,0.240769,0.065863,0.191647,0.00025000,2026-05-05T20:54:29Z
11,srnn-sfa-e-only-per-neuron,1.001010,0.767598,1.042902,0.780907,0.00025000,2026-05-05T20:54:29Z
11,srnn-sfa-e-only-skip-per-neuron,0.107600,0.245181,0.067564,0.194684,0.00025000,2026-05-05T20:54:29Z
11,srnn-std-e-only-per-neuron,0.998158,0.766726,1.039393,0.779704,0.00025000,2026-05-05T20:54:29Z
11,srnn-std-e-only-skip-per-neuron,0.104457,0.240866,0.065900,0.191729,0.00025000,2026-05-05T20:54:29Z
23,srnn-e-only-per-neuron,0.980287,0.758289,1.021656,0.771649,0.00050000,2026-05-05T20:59:23Z
23,srnn-e-only-skip-per-neuron,0.107555,0.244737,0.065743,0.191437,0.00050000,2026-05-05T20:59:23Z
23,srnn-sfa-e-only-per-neuron,0.994117,0.764915,1.034423,0.777708,0.00050000,2026-05-05T20:59:23Z
23,srnn-sfa-e-only-skip-per-neuron,0.108510,0.246080,0.066258,0.192400,0.00050000,2026-05-05T20:59:23Z
23,srnn-std-e-only-per-neuron,0.973716,0.759176,1.015425,0.772733,0.00050000,2026-05-05T20:59:23Z
23,srnn-std-e-only-skip-per-neuron,0.107584,0.244780,0.065760,0.191469,0.00050000,2026-05-05T20:59:23Z
35,srnn-e-only-per-neuron,0.946224,0.745177,0.996489,0.762955,0.00050000,2026-05-05T21:04:17Z
35,srnn-e-only-skip-per-neuron,0.103589,0.239552,0.065251,0.190625,0.00050000,2026-05-05T21:04:17Z
35,srnn-sfa-e-only-per-neuron,0.963853,0.753583,1.003517,0.766680,0.00050000,2026-05-05T21:04:17Z
35,srnn-sfa-e-only-skip-per-neuron,0.104727,0.241105,0.065960,0.191846,0.00050000,2026-05-05T21:04:17Z
35,srnn-std-e-only-per-neuron,0.932537,0.743450,0.986185,0.762079,0.00050000,2026-05-05T21:04:17Z
35,srnn-std-e-only-skip-per-neuron,0.104062,0.240179,0.065568,0.191145,0.00050000,2026-05-05T21:04:17Z
47,srnn-e-only-per-neuron,0.911389,0.732460,0.966803,0.753387,0.00050000,2026-05-05T21:09:12Z
47,srnn-e-only-skip-per-neuron,0.107599,0.244947,0.064212,0.188975,0.00050000,2026-05-05T21:09:12Z
47,srnn-sfa-e-only-per-neuron,0.930043,0.741230,0.975899,0.757557,0.00050000,2026-05-05T21:09:12Z
47,srnn-sfa-e-only-skip-per-neuron,0.110834,0.249083,0.065852,0.191645,0.00050000,2026-05-05T21:09:12Z
47,srnn-std-e-only-per-neuron,0.903537,0.732032,0.965261,0.754062,0.00050000,2026-05-05T21:09:12Z
47,srnn-std-e-only-skip-per-neuron,0.108587,0.246194,0.064621,0.189628,0.00050000,2026-05-05T21:09:12Z
59,srnn-e-only-per-neuron,0.879725,0.720841,0.937242,0.742902,0.00050000,2026-05-05T21:14:09Z
59,srnn-e-only-skip-per-neuron,0.107308,0.244813,0.062548,0.186465,0.00050000,2026-05-05T21:14:09Z
59,srnn-sfa-e-only-per-neuron,0.892494,0.727285,0.943181,0.746101,0.00050000,2026-05-05T21:14:09Z
59,srnn-sfa-e-only-skip-per-neuron,0.114195,0.253255,0.065801,0.191549,0.00050000,2026-05-05T21:14:09Z
59,srnn-std-e-only-per-neuron,0.883624,0.724153,0.946969,0.747170,0.00050000,2026-05-05T21:14:09Z
59,srnn-std-e-only-skip-per-neuron,0.108018,0.245654,0.062818,0.186832,0.00050000,2026-05-05T21:14:09Z
71,srnn-e-only-per-neuron,0.852276,0.710213,0.906588,0.731330,0.00050000,2026-05-05T21:19:05Z
71,srnn-e-only-skip-per-neuron,0.099298,0.235183,0.060035,0.182796,0.00050000,2026-05-05T21:19:05Z
71,srnn-sfa-e-only-per-neuron,0.859631,0.714262,0.910444,0.733496,0.00050000,2026-05-05T21:19:05Z
71,srnn-sfa-e-only-skip-per-neuron,0.110755,0.248915,0.065772,0.191494,0.00050000,2026-05-05T21:19:05Z
71,srnn-std-e-only-per-neuron,0.867723,0.717825,0.932082,0.741559,0.00050000,2026-05-05T21:19:05Z
71,srnn-std-e-only-skip-per-neuron,0.100369,0.236433,0.060567,0.183524,0.00050000,2026-05-05T21:19:05Z
83,srnn-e-only-per-neuron,0.822710,0.698091,0.872107,0.717526,0.00050000,2026-05-05T21:23:59Z
83,srnn-e-only-skip-per-neuron,0.098954,0.236145,0.056698,0.178062,0.00050000,2026-05-05T21:23:59Z
83,srnn-sfa-e-only-per-neuron,0.824105,0.699503,0.869192,0.717105,0.00050000,2026-05-05T21:23:59Z
83,srnn-sfa-e-only-skip-per-neuron,0.117649,0.257496,0.065752,0.191456,0.00050000,2026-05-05T21:23:59Z
83,srnn-std-e-only-per-neuron,0.850252,0.710695,0.916434,0.735750,0.00050000,2026-05-05T21:23:59Z
83,srnn-std-e-only-skip-per-neuron,0.101684,0.239160,0.058035,0.179879,0.00050000,2026-05-05T21:23:59Z
95,srnn-e-only-per-neuron,0.786899,0.682671,0.827453,0.698729,0.00050000,2026-05-05T21:28:55Z
95,srnn-e-only-skip-per-neuron,0.087855,0.222170,0.053610,0.173546,0.00050000,2026-05-05T21:28:55Z
95,srnn-sfa-e-only-per-neuron,0.779070,0.680139,0.813920,0.693609,0.00050000,2026-05-05T21:28:55Z
95,srnn-sfa-e-only-skip-per-neuron,0.110763,0.248849,0.065732,0.191419,0.00050000,2026-05-05T21:28:55Z
95,srnn-std-e-only-per-neuron,0.834162,0.704061,0.898000,0.728661,0.00050000,2026-05-05T21:28:55Z
95,srnn-std-e-only-skip-per-neuron,0.090865,0.225724,0.055130,0.175790,0.00050000,2026-05-05T21:28:55Z
107,srnn-e-only-per-neuron,0.744365,0.663426,0.776732,0.676382,0.00050000,2026-05-05T21:33:50Z
107,srnn-e-only-skip-per-neuron,0.083928,0.217589,0.051273,0.170088,0.00050000,2026-05-05T21:33:50Z
