param,mean_grad_norm,std_grad_norm,mean_pairwise_cosine,concentration
cell.a_0_scalar,0.008790091844275594,0.0010879000531242298,1.0,1.0
readout_bias,0.0036483550778969166,0.0002994962722309194,0.9655544390658849,0.9835855139356319
cell.W_in,0.0019605381037646097,0.0003644416682470536,0.3527060402897851,0.6253079846396895
readout_weight,0.001446454487284057,0.00025649431481115253,0.8607097867676434,0.9328385504945819
cell.W_raw_gain,0.0008503592762281187,0.00026122648082036343,1.0,1.0
cell.c_0_E_scalar,0.0006134103423391934,0.00010575920554295785,1.0,1.0
cell.log_tau_b_rel_E_gain,0.0004924243203277001,0.0001106634796205077,1.0,1.0
cell.W_raw,0.00036446136172152215,7.548030362163294e-05,0.7726138320274732,0.8859783864618458
cell.log_tau_d_gain,0.00034871563366323244,0.00014812601020408887,1.0,1.0
cell.log_tau_b_rec_E_gain,0.00025662032021500636,5.24136281388777e-05,1.0,1.0
cell.log_c_E_gain,0.00011437542025305447,2.085546717159709e-05,1.0,1.0
cell.W_in_gain,8.973582572480154e-05,7.010991592758485e-05,0.0,0.6725981187990754
cell.log_tau_global,8.148017252551654e-05,6.394251344037789e-05,0.08333333333333333,0.6370861987335729
cell.log_tau_a_E_gain,3.079138707562379e-05,6.30473533274457e-06,1.0,1.0
cell.a_0_vec,0.0,0.0,0.0,0.0
cell.c_0_E_vec,0.0,0.0,0.0,0.0
cell.log_c_E_vec,0.0,0.0,0.0,0.0
cell.log_tau_a_E_vec,0.0,0.0,0.0,0.0
cell.log_tau_b_rec_E_vec,0.0,0.0,0.0,0.0
cell.log_tau_b_rel_E_vec,0.0,0.0,0.0,0.0
cell.log_tau_d_vec,0.0,0.0,0.0,0.0
