chunk_len,param,variant,k,grad_norm
16,readout_weight,srnn-e-only-skip,0,0.0012793034547939897
16,readout_weight,srnn-e-only-skip-per-neuron,1,0.0016694770893082023
16,readout_bias,srnn-e-only-skip,0,0.003283056663349271
16,readout_bias,srnn-e-only-skip-per-neuron,1,0.004035143181681633
16,cell.W_raw,srnn-e-only-skip,0,6.16433026152663e-05
16,cell.W_raw,srnn-e-only-skip-per-neuron,1,7.668808393646032e-05
16,cell.W_in,srnn-e-only-skip,0,0.00016618157678749412
16,cell.W_in,srnn-e-only-skip-per-neuron,1,0.0001900861825561151
16,cell.W_raw_gain,srnn-e-only-skip,0,0.0001494384341640398
16,cell.W_raw_gain,srnn-e-only-skip-per-neuron,1,0.00017083949933294207
16,cell.W_in_gain,srnn-e-only-skip,0,1.8452181393513456e-05
16,cell.W_in_gain,srnn-e-only-skip-per-neuron,1,2.3298187443288043e-05
16,cell.a_0_vec,srnn-e-only-skip,0,0.0
16,cell.a_0_vec,srnn-e-only-skip-per-neuron,1,0.0026648687198758125
16,cell.a_0_scalar,srnn-e-only-skip,0,0.009235501289367676
16,cell.a_0_scalar,srnn-e-only-skip-per-neuron,1,0.011175457388162613
16,cell.log_tau_global,srnn-e-only-skip,0,1.332305146206636e-05
16,cell.log_tau_global,srnn-e-only-skip-per-neuron,1,7.823977284715511e-06
16,cell.log_tau_d_vec,srnn-e-only-skip,0,0.0
16,cell.log_tau_d_vec,srnn-e-only-skip-per-neuron,1,3.258420110796578e-05
16,cell.log_tau_d_gain,srnn-e-only-skip,0,5.3911619033897296e-05
16,cell.log_tau_d_gain,srnn-e-only-skip-per-neuron,1,4.4026375690009445e-05
16,cell.log_tau_a_E_vec,srnn-e-only-skip,0,0.0
16,cell.log_tau_a_E_vec,srnn-e-only-skip-per-neuron,1,4.2324009541516716e-07
16,cell.log_tau_a_E_gain,srnn-e-only-skip,0,4.1261328078689985e-06
16,cell.log_tau_a_E_gain,srnn-e-only-skip-per-neuron,1,3.982928774348693e-06
16,cell.log_c_E_vec,srnn-e-only-skip,0,0.0
16,cell.log_c_E_vec,srnn-e-only-skip-per-neuron,1,7.356039077421883e-06
16,cell.log_c_E_gain,srnn-e-only-skip,0,5.78419967496302e-05
16,cell.log_c_E_gain,srnn-e-only-skip-per-neuron,1,6.934587872819975e-05
16,cell.c_0_E_vec,srnn-e-only-skip,0,0.0
16,cell.c_0_E_vec,srnn-e-only-skip-per-neuron,1,7.75653916207375e-06
16,cell.c_0_E_scalar,srnn-e-only-skip,0,5.076390880276449e-05
16,cell.c_0_E_scalar,srnn-e-only-skip-per-neuron,1,5.7784458476817235e-05
16,cell.log_tau_b_rec_E_vec,srnn-e-only-skip,0,0.0
16,cell.log_tau_b_rec_E_vec,srnn-e-only-skip-per-neuron,1,1.6012743344617775e-06
16,cell.log_tau_b_rec_E_gain,srnn-e-only-skip,0,1.4904293493600562e-05
16,cell.log_tau_b_rec_E_gain,srnn-e-only-skip-per-neuron,1,1.671745121711865e-05
16,cell.log_tau_b_rel_E_vec,srnn-e-only-skip,0,0.0
16,cell.log_tau_b_rel_E_vec,srnn-e-only-skip-per-neuron,1,5.7008960538951214e-06
16,cell.log_tau_b_rel_E_gain,srnn-e-only-skip,0,4.3613039451884106e-05
16,cell.log_tau_b_rel_E_gain,srnn-e-only-skip-per-neuron,1,4.438356336322613e-05
32,readout_weight,srnn-e-only-skip,0,0.0012793034547939897
32,readout_weight,srnn-e-only-skip-per-neuron,1,0.0016694770893082023
32,readout_bias,srnn-e-only-skip,0,0.003283056663349271
32,readout_bias,srnn-e-only-skip-per-neuron,1,0.004035143181681633
32,cell.W_raw,srnn-e-only-skip,0,0.00011701984476530924
32,cell.W_raw,srnn-e-only-skip-per-neuron,1,0.00014636006380897015
32,cell.W_in,srnn-e-only-skip,0,0.0004566753632389009
32,cell.W_in,srnn-e-only-skip-per-neuron,1,0.0005049922037869692
32,cell.W_raw_gain,srnn-e-only-skip,0,0.00030015603988431394
32,cell.W_raw_gain,srnn-e-only-skip-per-neuron,1,0.00038398889591917396
32,cell.W_in_gain,srnn-e-only-skip,0,2.5531546270940453e-05
32,cell.W_in_gain,srnn-e-only-skip-per-neuron,1,3.965263385907747e-05
32,cell.a_0_vec,srnn-e-only-skip,0,0.0
32,cell.a_0_vec,srnn-e-only-skip-per-neuron,1,0.0030749274883419275
32,cell.a_0_scalar,srnn-e-only-skip,0,0.008862286806106567
32,cell.a_0_scalar,srnn-e-only-skip-per-neuron,1,0.010980152525007725
32,cell.log_tau_global,srnn-e-only-skip,0,5.1545004680519924e-05
32,cell.log_tau_global,srnn-e-only-skip-per-neuron,1,5.357843235742621e-08
32,cell.log_tau_d_vec,srnn-e-only-skip,0,0.0
32,cell.log_tau_d_vec,srnn-e-only-skip-per-neuron,1,8.362240623682737e-05
32,cell.log_tau_d_gain,srnn-e-only-skip,0,0.00016807380598038435
32,cell.log_tau_d_gain,srnn-e-only-skip-per-neuron,1,8.587005140725523e-05
32,cell.log_tau_a_E_vec,srnn-e-only-skip,0,0.0
32,cell.log_tau_a_E_vec,srnn-e-only-skip-per-neuron,1,9.673262866272125e-07
32,cell.log_tau_a_E_gain,srnn-e-only-skip,0,1.0086054317071103e-05
32,cell.log_tau_a_E_gain,srnn-e-only-skip-per-neuron,1,1.0071363249153364e-05
32,cell.log_c_E_vec,srnn-e-only-skip,0,0.0
32,cell.log_c_E_vec,srnn-e-only-skip-per-neuron,1,9.824876542552374e-06
32,cell.log_c_E_gain,srnn-e-only-skip,0,7.980663940543309e-05
32,cell.log_c_E_gain,srnn-e-only-skip-per-neuron,1,9.808562026591972e-05
32,cell.c_0_E_vec,srnn-e-only-skip,0,0.0
32,cell.c_0_E_vec,srnn-e-only-skip-per-neuron,1,1.7862175809568726e-05
32,cell.c_0_E_scalar,srnn-e-only-skip,0,0.00013509238488040864
32,cell.c_0_E_scalar,srnn-e-only-skip-per-neuron,1,0.00015224036178551614
32,cell.log_tau_b_rec_E_vec,srnn-e-only-skip,0,0.0
32,cell.log_tau_b_rec_E_vec,srnn-e-only-skip-per-neuron,1,4.511094630288426e-06
32,cell.log_tau_b_rec_E_gain,srnn-e-only-skip,0,4.214263390167616e-05
32,cell.log_tau_b_rec_E_gain,srnn-e-only-skip-per-neuron,1,4.794672713615e-05
32,cell.log_tau_b_rel_E_vec,srnn-e-only-skip,0,0.0
32,cell.log_tau_b_rel_E_vec,srnn-e-only-skip-per-neuron,1,1.5752209947095253e-05
32,cell.log_tau_b_rel_E_gain,srnn-e-only-skip,0,0.00011858753714477643
32,cell.log_tau_b_rel_E_gain,srnn-e-only-skip-per-neuron,1,0.00012383020657580346
64,readout_weight,srnn-e-only-skip,0,0.0012793034547939897
64,readout_weight,srnn-e-only-skip-per-neuron,1,0.0016694770893082023
64,readout_bias,srnn-e-only-skip,0,0.003283056663349271
64,readout_bias,srnn-e-only-skip-per-neuron,1,0.004035143181681633
64,cell.W_raw,srnn-e-only-skip,0,0.00021331662719603628
64,cell.W_raw,srnn-e-only-skip-per-neuron,1,0.00026637237169779837
64,cell.W_in,srnn-e-only-skip,0,0.000993077177554369
64,cell.W_in,srnn-e-only-skip-per-neuron,1,0.001189556554891169
64,cell.W_raw_gain,srnn-e-only-skip,0,0.00046659394865855575
64,cell.W_raw_gain,srnn-e-only-skip-per-neuron,1,0.0007079612114466727
64,cell.W_in_gain,srnn-e-only-skip,0,8.320057531818748e-05
64,cell.W_in_gain,srnn-e-only-skip-per-neuron,1,5.339832932804711e-05
64,cell.a_0_vec,srnn-e-only-skip,0,0.0
64,cell.a_0_vec,srnn-e-only-skip-per-neuron,1,0.0037503500934690237
64,cell.a_0_scalar,srnn-e-only-skip,0,0.008333464153110981
64,cell.a_0_scalar,srnn-e-only-skip-per-neuron,1,0.010700562037527561
64,cell.log_tau_global,srnn-e-only-skip,0,6.759031384717673e-05
64,cell.log_tau_global,srnn-e-only-skip-per-neuron,1,1.2862385574408108e-06
64,cell.log_tau_d_vec,srnn-e-only-skip,0,0.0
64,cell.log_tau_d_vec,srnn-e-only-skip-per-neuron,1,0.00019572691235225648
64,cell.log_tau_d_gain,srnn-e-only-skip,0,0.00028408525395207107
64,cell.log_tau_d_gain,srnn-e-only-skip-per-neuron,1,0.00017915158241521567
64,cell.log_tau_a_E_vec,srnn-e-only-skip,0,0.0
64,cell.log_tau_a_E_vec,srnn-e-only-skip-per-neuron,1,1.902457483993203e-06
64,cell.log_tau_a_E_gain,srnn-e-only-skip,0,2.0519171812338755e-05
64,cell.log_tau_a_E_gain,srnn-e-only-skip-per-neuron,1,2.0979077817173675e-05
64,cell.log_c_E_vec,srnn-e-only-skip,0,0.0
64,cell.log_c_E_vec,srnn-e-only-skip-per-neuron,1,1.261918259842787e-05
64,cell.log_c_E_gain,srnn-e-only-skip,0,9.98575342237018e-05
64,cell.log_c_E_gain,srnn-e-only-skip-per-neuron,1,0.00012592649727594107
64,cell.c_0_E_vec,srnn-e-only-skip,0,0.0
64,cell.c_0_E_vec,srnn-e-only-skip-per-neuron,1,4.190995605313219e-05
64,cell.c_0_E_scalar,srnn-e-only-skip,0,0.0003170498239342123
64,cell.c_0_E_scalar,srnn-e-only-skip-per-neuron,1,0.0003796351084019989
64,cell.log_tau_b_rec_E_vec,srnn-e-only-skip,0,0.0
64,cell.log_tau_b_rec_E_vec,srnn-e-only-skip-per-neuron,1,1.1597339835134335e-05
64,cell.log_tau_b_rec_E_gain,srnn-e-only-skip,0,0.00010313503298675641
64,cell.log_tau_b_rec_E_gain,srnn-e-only-skip-per-neuron,1,0.0001237663673236966
64,cell.log_tau_b_rel_E_vec,srnn-e-only-skip,0,0.0
64,cell.log_tau_b_rel_E_vec,srnn-e-only-skip-per-neuron,1,3.6039335100213066e-05
64,cell.log_tau_b_rel_E_gain,srnn-e-only-skip,0,0.00025977499899454415
64,cell.log_tau_b_rel_E_gain,srnn-e-only-skip-per-neuron,1,0.0002839739026967436
128,readout_weight,srnn-e-only-skip,0,0.0012793034547939897
128,readout_weight,srnn-e-only-skip-per-neuron,1,0.0016694770893082023
128,readout_bias,srnn-e-only-skip,0,0.003283056663349271
128,readout_bias,srnn-e-only-skip-per-neuron,1,0.004035143181681633
128,cell.W_raw,srnn-e-only-skip,0,0.0003411912184674293
128,cell.W_raw,srnn-e-only-skip-per-neuron,1,0.0004234157386235893
128,cell.W_in,srnn-e-only-skip,0,0.0018234426388517022
128,cell.W_in,srnn-e-only-skip-per-neuron,1,0.002019910840317607
128,cell.W_raw_gain,srnn-e-only-skip,0,0.00069067144067958
128,cell.W_raw_gain,srnn-e-only-skip-per-neuron,1,0.0009928849758580327
128,cell.W_in_gain,srnn-e-only-skip,0,9.227576811099425e-05
128,cell.W_in_gain,srnn-e-only-skip-per-neuron,1,0.0001410111435689032
128,cell.a_0_vec,srnn-e-only-skip,0,0.0
128,cell.a_0_vec,srnn-e-only-skip-per-neuron,1,0.004558522719889879
128,cell.a_0_scalar,srnn-e-only-skip,0,0.007549559231847525
128,cell.a_0_scalar,srnn-e-only-skip-per-neuron,1,0.010407152585685253
128,cell.log_tau_global,srnn-e-only-skip,0,0.00010583192488411441
128,cell.log_tau_global,srnn-e-only-skip-per-neuron,1,7.777606515446678e-05
128,cell.log_tau_d_vec,srnn-e-only-skip,0,0.0
128,cell.log_tau_d_vec,srnn-e-only-skip-per-neuron,1,0.0003052532556466758
128,cell.log_tau_d_gain,srnn-e-only-skip,0,0.000449744809884578
128,cell.log_tau_d_gain,srnn-e-only-skip-per-neuron,1,0.00016244639118667692
128,cell.log_tau_a_E_vec,srnn-e-only-skip,0,0.0
128,cell.log_tau_a_E_vec,srnn-e-only-skip-per-neuron,1,3.110077159362845e-06
128,cell.log_tau_a_E_gain,srnn-e-only-skip,0,3.197215482941829e-05
128,cell.log_tau_a_E_gain,srnn-e-only-skip-per-neuron,1,3.4850891097448766e-05
128,cell.log_c_E_vec,srnn-e-only-skip,0,0.0
128,cell.log_c_E_vec,srnn-e-only-skip-per-neuron,1,1.509489356976701e-05
128,cell.log_c_E_gain,srnn-e-only-skip,0,0.00010864278738154098
128,cell.log_c_E_gain,srnn-e-only-skip-per-neuron,1,0.00014631537487730384
128,cell.c_0_E_vec,srnn-e-only-skip,0,0.0
128,cell.c_0_E_vec,srnn-e-only-skip-per-neuron,1,8.327392424689606e-05
