# isp-rename-10e — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.93981           —           —     scalar
tau_d (s)                                 +0.1     +0.084968           0    0.002474        300
tau_a_E[j=0] (s)                         +0.25      +0.24145           0    0.003984        150
tau_a_E[j=1] (s)                       +4.3832       +4.2053           0    0.006571        150
tau_a_E[j=2] (s)                           +10       +9.5948           0    0.002447        150
tau_b_rec_E (s)                             +1       +0.9643           0     0.01153        150
tau_b_rel_E (s)                          +0.25      +0.25128           0    0.004998        150
W_eff (E src, signed)                 +0.23267      +0.22938     0.07641     0.07542      15048
W_eff (I src, signed)                 -0.31062      -0.30543     0.07724     0.07612      14977
|W_eff| (E src)                       +0.23267      +0.22938     0.07641     0.07542      15048
|W_eff| (I src)                       +0.31062      +0.30543     0.07724     0.07612      14977
W_in_eff (input neurons)            -0.0003386   -0.00033055      0.1012      0.1105       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.04879           0   0.0008542        150
c_E[j=1] (SFA coupling)                  +0.05     +0.048835           0    0.000923        150
c_E[j=2] (SFA coupling)                  +0.05     +0.048769           0   0.0009456        150
c_0_E[j=0] (SFA offset)                     +0     -0.042226           0     0.02024        150
c_0_E[j=1] (SFA offset)                     +0     -0.042622           0     0.01952        150
c_0_E[j=2] (SFA offset)                     +0      -0.04238           0     0.01908        150
a_0 (threshold)                          +0.35      +0.31537           0       0.024        300
readout_weight                     -2.8854e-05   +0.00051796     0.06604      0.0711       6675
readout_bias                                +0    -0.0015425           0     0.02677         89
ic.ic (per-variant init)              +0.10386      +0.10386      0.3828      0.3828        900
