# isp-rename-10e — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99226           —           —     scalar
tau_d (s)                                 +0.1      +0.10119           0    0.001566        300
tau_a_E[j=0] (s)                         +0.25      +0.24083           0    0.001541        150
tau_a_E[j=1] (s)                       +4.3832        +4.265           0    0.002706        150
tau_a_E[j=2] (s)                           +10       +9.7362           0    0.001039        150
tau_b_rec_E (s)                             +1      +0.99639           0    0.003979        150
tau_b_rel_E (s)                          +0.25      +0.24191           0    0.001242        150
W_eff (E src, signed)                 +0.23267      +0.22838     0.07641     0.07504      15048
W_eff (I src, signed)                 -0.31062      -0.30571     0.07724     0.07603      14977
|W_eff| (E src)                       +0.23267      +0.22838     0.07641     0.07504      15048
|W_eff| (I src)                       +0.31062      +0.30571     0.07724     0.07603      14977
W_in_eff (input neurons)           -0.00084237    -0.0009372      0.1008     0.09914       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.051808           0   0.0004028        150
c_E[j=1] (SFA coupling)                  +0.05     +0.051854           0   0.0004949        150
c_E[j=2] (SFA coupling)                  +0.05     +0.051913           0   0.0005438        150
c_0_E[j=0] (SFA offset)                     +0     +0.034778           0    0.007287        150
c_0_E[j=1] (SFA offset)                     +0     +0.034521           0    0.006991        150
c_0_E[j=2] (SFA offset)                     +0     +0.033955           0    0.006951        150
a_0 (threshold)                          +0.35      +0.37489           0     0.01633        300
readout_weight                     +0.00078219   +0.00083932     0.06654     0.06087       6675
readout_bias                                +0   +0.00013959           0    0.001394         89
ic.ic (per-variant init)              +0.10327      +0.10327      0.3829      0.3829        900
