# isp-rename-10e — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99546           —           —     scalar
tau_d (s)                                 +0.1     +0.099016           0   0.0009727        300
tau_a_E[j=0] (s)                         +0.25      +0.24492           0    0.001412        150
tau_a_E[j=1] (s)                       +4.3832       +4.3127           0    0.004419        150
tau_a_E[j=2] (s)                           +10       +9.8466           0     0.00305        150
tau_b_rec_E (s)                             +1      +0.99546           0           0        150
tau_b_rel_E (s)                          +0.25      +0.24886           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22988     0.07641     0.07553      15048
W_eff (I src, signed)                 -0.31062        -0.307     0.07724     0.07634      14977
|W_eff| (E src)                       +0.23267      +0.22988     0.07641     0.07553      15048
|W_eff| (I src)                       +0.31062        +0.307     0.07724     0.07634      14977
W_in_eff (input neurons)           -0.00015382   -1.6796e-05     0.09934      0.0982       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.050858           0   0.0003478        150
c_E[j=1] (SFA coupling)                  +0.05     +0.050909           0   0.0004038        150
c_E[j=2] (SFA coupling)                  +0.05     +0.050954           0   0.0004537        150
c_0_E[j=0] (SFA offset)                     +0     +0.018318           0    0.008675        150
c_0_E[j=1] (SFA offset)                     +0     +0.018447           0    0.008812        150
c_0_E[j=2] (SFA offset)                     +0     +0.018429           0    0.008721        150
a_0 (threshold)                          +0.35       +0.3618           0     0.01082        300
readout_weight                     -0.00098972   +0.00020923     0.06678     0.06622       6675
readout_bias                                +0   +0.00052439           0    0.009408         89
ic.ic (per-variant init)              +0.13078      +0.13078      0.4172      0.4172        900
