# isp-rename-10e — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0145           —           —     scalar
tau_d (s)                                 +0.1      +0.10399           0    0.001161        300
tau_a_E[j=0] (s)                         +0.25      +0.24775           0    0.001364        150
tau_a_E[j=1] (s)                       +4.3832       +4.3767           0    0.004588        150
tau_a_E[j=2] (s)                           +10       +9.9957           0    0.003787        150
tau_b_rec_E (s)                             +1       +1.0145           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25362           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22954     0.07641     0.07541      15048
W_eff (I src, signed)                 -0.31062      -0.30682     0.07724      0.0763      14977
|W_eff| (E src)                       +0.23267      +0.22954     0.07641     0.07541      15048
|W_eff| (I src)                       +0.31062      +0.30682     0.07724      0.0763      14977
W_in_eff (input neurons)            -0.0011621   -0.00088393     0.09962     0.09614       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.051154           0   0.0003285        150
c_E[j=1] (SFA coupling)                  +0.05      +0.05129           0   0.0004489        150
c_E[j=2] (SFA coupling)                  +0.05     +0.051399           0   0.0005162        150
c_0_E[j=0] (SFA offset)                     +0     +0.028053           0    0.007471        150
c_0_E[j=1] (SFA offset)                     +0     +0.028959           0    0.007489        150
c_0_E[j=2] (SFA offset)                     +0     +0.028963           0    0.007423        150
a_0 (threshold)                          +0.35      +0.36842           0     0.01321        300
readout_weight                     +0.00016801   +0.00019328      0.0673     0.06327       6675
readout_bias                                +0   +3.8623e-05           0    0.006911         89
ic.ic (per-variant init)              +0.09231      +0.09231      0.5294      0.5294        900
