# isp-rename-10e — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.94245           —           —     scalar
tau_d (s)                                 +0.1     +0.085709           0    0.002801        300
tau_b_rec_E (s)                             +1      +0.92759           0     0.01098        150
tau_b_rel_E (s)                          +0.25      +0.24852           0    0.004655        150
W_eff (E src, signed)                 +0.23267      +0.24012     0.07641     0.07896      15048
W_eff (I src, signed)                 -0.31062      -0.31955     0.07724     0.07956      14977
|W_eff| (E src)                       +0.23267      +0.24012     0.07641     0.07896      15048
|W_eff| (I src)                       +0.31062      +0.31955     0.07724     0.07956      14977
W_in_eff (input neurons)           +0.00019944   +0.00036307     0.09994      0.1077       6675
a_0 (threshold)                          +0.35      +0.32272           0     0.02254        300
readout_weight                     +0.00074661    +0.0024107     0.06657     0.07225       6675
readout_bias                                +0      -0.00404           0     0.02586         89
ic.ic (per-variant init)             +0.090819     +0.090819      0.3835      0.3835        900
