# isp-rename-10e — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99243           —           —     scalar
tau_d (s)                                 +0.1      +0.10137           0    0.001597        300
tau_b_rec_E (s)                             +1       +1.0013           0     0.00428        150
tau_b_rel_E (s)                          +0.25      +0.24153           0    0.001266        150
W_eff (E src, signed)                 +0.23267      +0.22772     0.07641     0.07482      15048
W_eff (I src, signed)                 -0.31062      -0.30492     0.07724     0.07584      14977
|W_eff| (E src)                       +0.23267      +0.22772     0.07641     0.07482      15048
|W_eff| (I src)                       +0.31062      +0.30492     0.07724     0.07584      14977
W_in_eff (input neurons)           +0.00036119   +0.00034556     0.09956     0.09879       6675
a_0 (threshold)                          +0.35      +0.37506           0     0.01671        300
readout_weight                     +0.00055372   -0.00031886     0.06572     0.05966       6675
readout_bias                                +0   -0.00033867           0    0.002078         89
ic.ic (per-variant init)             +0.083543     +0.083543       0.384       0.384        900
