# lr3e4-20ep — variant srnn-e-only-skip (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99641           —           —     scalar
tau_d (s)                                 +0.1      +0.10092           0           0        300
tau_a_E (s)                            +4.8777       +4.7793       3.996       3.915        450
tau_a_I (s)                           +0.69315      +0.69066           0           0        450
tau_b_rec_E (s)                             +1       +1.0099           0           0        150
tau_b_rel_E (s)                          +0.25      +0.24552           0           0        150
tau_b_rec_I (s)                             +1      +0.99641           0           0        150
tau_b_rel_I (s)                          +0.25       +0.2491           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22885     0.07641      0.0752      15048
W_eff (I src, signed)                 -0.31062      -0.30636     0.07724      0.0762      14977
|W_eff| (E src)                       +0.23267      +0.22885     0.07641      0.0752      15048
|W_eff| (I src)                       +0.31062      +0.30636     0.07724      0.0762      14977
W_in_eff (input neurons)            -0.0003386   -0.00033955      0.1012     0.09962       6675
c_E (SFA coupling)                       +0.05     +0.050816           0           0        450
c_0_E (SFA offset)                          +0     +0.017052           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36847           0           0        300
readout_weight                     -0.00041422   +0.00041058     0.06568     0.05901       6675
readout_bias                                +0    +0.0006861           0    0.003725         89
ic.ic (per-variant init)              +0.15932      +0.17082      0.4111      0.4078       1500
