# lr3e4-20ep — variant srnn-no-dales-skip (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99736           —           —     scalar
tau_d (s)                                 +0.1      +0.10099           0           0        300
tau_a_E (s)                            +4.8777       +4.8053       3.996       3.936        450
tau_a_I (s)                            +4.8777       +4.8626       3.996       3.983        450
tau_b_rec_E (s)                             +1       +1.0062           0           0        150
tau_b_rel_E (s)                          +0.25      +0.24688           0           0        150
tau_b_rec_I (s)                             +1       +0.9879           0           0        150
tau_b_rel_I (s)                          +0.25      +0.25119           0           0        150
W_eff (E src, signed)                  +0.2326      +0.22939     0.07663     0.07626      15048
W_eff (I src, signed)                 -0.31062      -0.30803     0.07727     0.07678      14977
|W_eff| (E src)                       +0.23267      +0.22946     0.07641     0.07606      15048
|W_eff| (I src)                       +0.31062      +0.30804     0.07724     0.07676      14977
W_in_eff (input neurons)            -0.0011621   -0.00080286     0.09962     0.09653       6675
c_E (SFA coupling)                       +0.05     +0.050473           0           0        450
c_0_E (SFA offset)                          +0     +0.011531           0           0        450
c_I (SFA coupling)                       +0.05     +0.049562           0           0        450
c_0_I (SFA offset)                          +0     -0.010542           0           0        450
a_0 (threshold)                          +0.35      +0.36292           0           0        300
readout_weight                      -0.0016591    -0.0012728     0.06668     0.06284       6675
readout_bias                                +0   +0.00088264           0    0.005516         89
ic.ic (per-variant init)              +0.16747      +0.16768      0.3627      0.3957       1500
