epoch,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,2.321509,0.116426,2.322322,0.104500,0.00005001,2026-04-14T04:29:13Z
1,2.292273,0.140315,2.239443,0.170500,0.00010001,2026-04-14T04:33:22Z
2,2.168526,0.211278,2.138754,0.212167,0.00015001,2026-04-14T04:37:22Z
3,2.089057,0.251889,2.059761,0.261333,0.00020001,2026-04-14T04:41:20Z
4,2.103292,0.245870,2.184584,0.205833,0.00025000,2026-04-14T04:45:11Z
5,2.137251,0.240759,2.457231,0.109667,0.00030000,2026-04-14T04:48:59Z
6,2.291883,0.146833,2.232847,0.140333,0.00035000,2026-04-14T04:52:56Z
7,2.185254,0.216000,2.142574,0.204667,0.00040000,2026-04-14T04:56:48Z
8,2.115798,0.232815,2.025288,0.252667,0.00045000,2026-04-14T05:00:29Z
9,1.995160,0.278352,1.929038,0.301500,0.00050000,2026-04-14T05:03:57Z
10,2.058678,0.260778,2.052531,0.276000,0.00050000,2026-04-14T05:07:28Z
11,1.975568,0.291833,1.923830,0.312333,0.00050000,2026-04-14T05:11:01Z
12,1.863368,0.340704,1.781713,0.345833,0.00050000,2026-04-14T05:14:37Z
13,1.762692,0.371593,1.754723,0.371167,0.00050000,2026-04-14T05:18:14Z
14,1.704079,0.388000,1.645794,0.417667,0.00050000,2026-04-14T05:22:06Z
15,1.607873,0.415148,1.552422,0.436500,0.00050000,2026-04-14T05:25:49Z
16,1.507293,0.448722,1.422498,0.481000,0.00050000,2026-04-14T05:29:23Z
17,1.406467,0.478759,1.345180,0.503333,0.00050000,2026-04-14T05:32:52Z
18,1.299571,0.516870,1.214691,0.556167,0.00050000,2026-04-14T05:36:19Z
19,1.187297,0.562148,1.111105,0.597167,0.00050000,2026-04-14T05:39:48Z
20,2.013481,0.325222,2.059057,0.222500,0.00050000,2026-04-14T05:43:19Z
21,1.962991,0.277556,1.872238,0.340833,0.00050000,2026-04-14T05:46:45Z
22,1.998529,0.267722,2.099499,0.203167,0.00050000,2026-04-14T05:50:10Z
23,2.015715,0.241852,1.939365,0.285667,0.00050000,2026-04-14T05:53:41Z
24,1.909428,0.301037,1.855942,0.303000,0.00050000,2026-04-14T05:57:13Z
25,1.822282,0.332093,1.755527,0.357333,0.00050000,2026-04-14T06:00:43Z
26,1.742367,0.368796,1.672081,0.408333,0.00050000,2026-04-14T06:04:16Z
27,1.668535,0.397389,1.573787,0.450000,0.00050000,2026-04-14T06:07:51Z
28,1.646011,0.412056,1.566556,0.452333,0.00050000,2026-04-14T06:11:32Z
29,1.556991,0.443259,1.453557,0.480667,0.00050000,2026-04-14T06:15:06Z
30,1.475355,0.473111,1.356498,0.515333,0.00050000,2026-04-14T06:18:59Z
31,1.385790,0.504500,1.283392,0.557833,0.00050000,2026-04-14T06:22:55Z
32,1.295939,0.540296,1.164345,0.610167,0.00050000,2026-04-14T06:26:44Z
33,1.184473,0.587222,1.032078,0.660500,0.00050000,2026-04-14T06:30:42Z
34,1.090308,0.624870,0.947459,0.684000,0.00050000,2026-04-14T06:34:29Z
35,0.987279,0.663981,0.859933,0.726167,0.00049479,2026-04-14T06:38:09Z
36,1.356646,0.526852,1.244284,0.559333,0.00047943,2026-04-14T06:41:47Z
37,1.190519,0.560981,0.994246,0.613500,0.00045459,2026-04-14T06:45:20Z
38,2.001108,0.418444,1.712453,0.432667,0.00042135,2026-04-14T06:48:55Z
39,1.468790,0.488315,1.201842,0.601333,0.00038118,2026-04-14T06:52:39Z
40,1.219230,0.584167,1.024998,0.673833,0.00033582,2026-04-14T06:56:33Z
41,1.091673,0.629389,0.949553,0.681500,0.00028726,2026-04-14T07:00:20Z
42,1.026883,0.647778,0.928851,0.699833,0.00023762,2026-04-14T07:04:01Z
43,0.996041,0.658630,0.894144,0.705333,0.00018906,2026-04-14T07:07:45Z
44,0.965647,0.666333,0.871270,0.710667,0.00014372,2026-04-14T07:11:23Z
45,0.952021,0.675222,0.843964,0.725333,0.00010356,2026-04-14T07:15:16Z
46,1.052322,0.641593,1.187655,0.626000,0.00007034,2026-04-14T07:19:27Z
47,1.243503,0.585074,1.124314,0.638667,0.00004553,2026-04-14T07:23:59Z
48,1.191978,0.600778,1.084032,0.651000,0.00003019,2026-04-14T07:27:51Z
49,1.169179,0.606278,1.057425,0.657000,0.00002500,2026-04-14T07:31:08Z
