# overnight-cl250-resume120 — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                        +0.77065       +0.6228           —           —     scalar
tau_d (s)                            +0.050201     +0.031946    0.006832    0.008385        300
tau_a_E (s)                            +3.2983       +2.3462       2.703       1.912        450
tau_b_rec_E (s)                       +0.77065       +0.6228           0           0        150
tau_b_rel_E (s)                       +0.19266       +0.1557           0           0        150
W_eff (E src, signed)                 +0.24106      +0.22561     0.08131     0.07892      15048
W_eff (I src, signed)                 -0.31873      -0.29814     0.08281     0.08305      14977
|W_eff| (E src)                       +0.24106      +0.22561     0.08131     0.07892      15048
|W_eff| (I src)                       +0.31873      +0.29814     0.08281     0.08305      14977
W_in_eff (input neurons)            -0.0020851    -0.0018244      0.1374      0.1217       6675
c_E (SFA coupling)                   +0.051482     +0.045337    0.003646    0.005954        450
c_0_E (SFA offset)                   -0.079732      -0.21542     0.06781      0.1249        450
a_0 (threshold)                       +0.34909        +0.366     0.05572     0.08314        300
readout_weight                      +0.0052418    +0.0084713      0.1206      0.1704       6675
readout_bias                         -0.026226      -0.10435     0.06046      0.1289         89
ic.ic (per-variant init)             +0.063944    -0.0045598      0.4472      0.4608        900
