# overnight-cl250-resume120 — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                          +1.016      +0.68228           —           —     scalar
tau_d (s)                             +0.10403     +0.040003    0.003474    0.004433        300
tau_a_E (s)                            +4.8605       +2.9413       3.986       2.417        450
tau_b_rec_E (s)                         +1.016      +0.68228           0           0        150
tau_b_rel_E (s)                         +0.254      +0.17057           0           0        150
W_eff (E src, signed)                 +0.22921      +0.22832     0.07535     0.07621      15048
W_eff (I src, signed)                 -0.30625      -0.30425     0.07637     0.07747      14977
|W_eff| (E src)                       +0.22921      +0.22832     0.07535     0.07621      15048
|W_eff| (I src)                       +0.30625      +0.30425     0.07637     0.07747      14977
W_in_eff (input neurons)            -0.0014667    -0.0030177     0.09388     0.07681       6675
c_E (SFA coupling)                   +0.051699     +0.053708    0.001434    0.007939        450
c_0_E (SFA offset)                   +0.036936     +0.017061     0.02567      0.1012        450
a_0 (threshold)                       +0.37426      +0.35718     0.03578      0.0842        300
readout_weight                      -0.0010738    -0.0028867     0.06088     0.06855       6675
readout_bias                        +0.0022042       +0.0371    0.003744     0.04487         89
ic.ic (per-variant init)               +0.1172     +0.054494      0.4144      0.4889        900
