# overnight-cl250-resume120 — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                        +0.79317      +0.69512           —           —     scalar
tau_d (s)                            +0.052401     +0.039022    0.007879    0.009972        300
tau_a_E (s)                           +0.54978      +0.48182           0           0        450
tau_b_rec_E (s)                       +0.49281       +0.3318     0.03874     0.03998        150
tau_b_rel_E (s)                       +0.32451        +0.387     0.03178     0.05346        150
W_eff (E src, signed)                 +0.27677      +0.25831     0.09482     0.09257      15048
W_eff (I src, signed)                 -0.36449      -0.34123     0.09683     0.09821      14977
|W_eff| (E src)                       +0.27677      +0.25831     0.09482     0.09257      15048
|W_eff| (I src)                       +0.36449      +0.34123     0.09683     0.09821      14977
W_in_eff (input neurons)           -0.00091659   -0.00098562      0.1406      0.1332       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                       +0.22171      +0.28106     0.08034      0.1036        300
readout_weight                      +0.0096444     +0.010267      0.1413      0.1858       6675
readout_bias                         -0.022083     -0.022221      0.1547       0.187         89
ic.ic (per-variant init)            +0.0046818     +0.030821         0.5      0.4926        900
