# overnight-cl250-resume120 — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                        +0.73075      +0.48709           —           —     scalar
tau_d (s)                            +0.048476      +0.01728    0.004967    0.005127        300
tau_a_E (s)                           +0.50652      +0.33763           0           0        450
tau_b_rec_E (s)                       +0.68599      +0.25985     0.02816     0.03932        150
tau_b_rel_E (s)                       +0.18328      +0.17382    0.008936     0.03227        150
W_eff (E src, signed)                 +0.24529       +0.2124     0.08121     0.07436      15048
W_eff (I src, signed)                  -0.3268      -0.28145     0.08245     0.07743      14977
|W_eff| (E src)                       +0.24529       +0.2124     0.08121     0.07436      15048
|W_eff| (I src)                        +0.3268      +0.28145     0.08245     0.07743      14977
W_in_eff (input neurons)           -0.00069182   +7.5388e-06     0.08771     0.03832       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                        +0.3437      +0.20351     0.05943      0.1406        300
readout_weight                      -0.0083536    -0.0079787     0.06826      0.1213       6675
readout_bias                         +0.024059     +0.050723     0.04786      0.1257         89
ic.ic (per-variant init)             +0.073535   -0.00010804      0.4271      0.4971        900
