epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-e-only-per-neuron,0.845594,0.707686,0.924147,0.738474,0.00050000,2026-04-29T03:19:22Z
0,srnn-e-only-skip-per-neuron,0.076371,0.206179,0.075491,0.204735,0.00050000,2026-04-29T03:19:22Z
0,srnn-sfa-e-only-per-neuron,0.876404,0.720876,0.961674,0.753335,0.00050000,2026-04-29T03:19:22Z
0,srnn-sfa-e-only-skip-per-neuron,0.080604,0.212440,0.079112,0.209978,0.00050000,2026-04-29T03:19:22Z
0,srnn-std-e-only-per-neuron,0.858559,0.714009,0.951142,0.750208,0.00050000,2026-04-29T03:19:22Z
0,srnn-std-e-only-skip-per-neuron,0.077544,0.207821,0.076553,0.206233,0.00050000,2026-04-29T03:19:22Z
1,srnn-e-only-per-neuron,0.844544,0.707348,0.923683,0.738330,0.00050000,2026-04-29T03:23:11Z
1,srnn-e-only-skip-per-neuron,0.076282,0.206054,0.075415,0.204633,0.00050000,2026-04-29T03:23:11Z
1,srnn-sfa-e-only-per-neuron,0.875357,0.720507,0.960924,0.752939,0.00050000,2026-04-29T03:23:11Z
1,srnn-sfa-e-only-skip-per-neuron,0.080600,0.212433,0.079108,0.209973,0.00050000,2026-04-29T03:23:11Z
1,srnn-std-e-only-per-neuron,0.857745,0.713685,0.950696,0.749998,0.00050000,2026-04-29T03:23:11Z
1,srnn-std-e-only-skip-per-neuron,0.077464,0.207706,0.076491,0.206149,0.00050000,2026-04-29T03:23:11Z
2,srnn-e-only-per-neuron,0.843564,0.706869,0.923075,0.738083,0.00050000,2026-04-29T03:26:58Z
2,srnn-e-only-skip-per-neuron,0.076192,0.205937,0.075334,0.204522,0.00050000,2026-04-29T03:26:58Z
2,srnn-sfa-e-only-per-neuron,0.874248,0.720001,0.960183,0.752491,0.00050000,2026-04-29T03:26:58Z
2,srnn-sfa-e-only-skip-per-neuron,0.080596,0.212427,0.079103,0.209966,0.00050000,2026-04-29T03:26:58Z
2,srnn-std-e-only-per-neuron,0.857279,0.713437,0.950919,0.750255,0.00050000,2026-04-29T03:26:58Z
2,srnn-std-e-only-skip-per-neuron,0.077384,0.207593,0.076429,0.206058,0.00050000,2026-04-29T03:26:58Z
3,srnn-e-only-per-neuron,0.842645,0.706572,0.922293,0.737829,0.00050000,2026-04-29T03:30:46Z
3,srnn-e-only-skip-per-neuron,0.076102,0.205820,0.075253,0.204404,0.00050000,2026-04-29T03:30:46Z
3,srnn-sfa-e-only-per-neuron,0.873483,0.719719,0.959346,0.752375,0.00050000,2026-04-29T03:30:46Z
3,srnn-sfa-e-only-skip-per-neuron,0.080592,0.212419,0.079099,0.209958,0.00050000,2026-04-29T03:30:46Z
3,srnn-std-e-only-per-neuron,0.856357,0.713113,0.949469,0.749638,0.00050000,2026-04-29T03:30:46Z
3,srnn-std-e-only-skip-per-neuron,0.077304,0.207473,0.076361,0.205959,0.00050000,2026-04-29T03:30:46Z
4,srnn-e-only-per-neuron,0.841683,0.706178,0.922027,0.737801,0.00050000,2026-04-29T03:34:32Z
4,srnn-e-only-skip-per-neuron,0.076012,0.205686,0.075175,0.204299,0.00050000,2026-04-29T03:34:32Z
4,srnn-sfa-e-only-per-neuron,0.872225,0.719307,0.958428,0.751920,0.00050000,2026-04-29T03:34:32Z
4,srnn-sfa-e-only-skip-per-neuron,0.080587,0.212412,0.079093,0.209951,0.00050000,2026-04-29T03:34:32Z
4,srnn-std-e-only-per-neuron,0.855704,0.712852,0.949404,0.749661,0.00050000,2026-04-29T03:34:32Z
4,srnn-std-e-only-skip-per-neuron,0.077223,0.207360,0.076296,0.205870,0.00050000,2026-04-29T03:34:32Z
5,srnn-e-only-per-neuron,0.840830,0.705848,0.921171,0.737503,0.00050000,2026-04-29T03:38:20Z
5,srnn-e-only-skip-per-neuron,0.075924,0.205578,0.075092,0.204190,0.00050000,2026-04-29T03:38:20Z
5,srnn-sfa-e-only-per-neuron,0.871170,0.718787,0.957925,0.751776,0.00050000,2026-04-29T03:38:20Z
5,srnn-sfa-e-only-skip-per-neuron,0.080582,0.212405,0.079088,0.209942,0.00050000,2026-04-29T03:38:20Z
5,srnn-std-e-only-per-neuron,0.855008,0.712520,0.949150,0.749547,0.00050000,2026-04-29T03:38:20Z
5,srnn-std-e-only-skip-per-neuron,0.077142,0.207243,0.076230,0.205767,0.00050000,2026-04-29T03:38:20Z
6,srnn-e-only-per-neuron,0.839746,0.705428,0.920673,0.737325,0.00050000,2026-04-29T03:42:10Z
6,srnn-e-only-skip-per-neuron,0.075834,0.205457,0.075013,0.204081,0.00050000,2026-04-29T03:42:10Z
6,srnn-sfa-e-only-per-neuron,0.870333,0.718544,0.957804,0.751728,0.00050000,2026-04-29T03:42:10Z
6,srnn-sfa-e-only-skip-per-neuron,0.080576,0.212395,0.079081,0.209931,0.00050000,2026-04-29T03:42:10Z
6,srnn-std-e-only-per-neuron,0.854403,0.712302,0.949021,0.749651,0.00050000,2026-04-29T03:42:10Z
6,srnn-std-e-only-skip-per-neuron,0.077061,0.207128,0.076166,0.205682,0.00050000,2026-04-29T03:42:10Z
7,srnn-e-only-per-neuron,0.838790,0.704995,0.919920,0.737033,0.00050000,2026-04-29T03:46:00Z
7,srnn-e-only-skip-per-neuron,0.075744,0.205329,0.074926,0.203966,0.00050000,2026-04-29T03:46:00Z
7,srnn-sfa-e-only-per-neuron,0.869349,0.718155,0.956815,0.751421,0.00050000,2026-04-29T03:46:00Z
7,srnn-sfa-e-only-skip-per-neuron,0.080571,0.212386,0.079075,0.209922,0.00050000,2026-04-29T03:46:00Z
7,srnn-std-e-only-per-neuron,0.853658,0.712100,0.948464,0.749387,0.00050000,2026-04-29T03:46:00Z
7,srnn-std-e-only-skip-per-neuron,0.076980,0.207019,0.076094,0.205580,0.00050000,2026-04-29T03:46:00Z
8,srnn-e-only-per-neuron,0.837922,0.704710,0.919455,0.736938,0.00050000,2026-04-29T03:49:48Z
8,srnn-e-only-skip-per-neuron,0.075654,0.205213,0.074844,0.203853,0.00050000,2026-04-29T03:49:48Z
8,srnn-sfa-e-only-per-neuron,0.868357,0.717788,0.956244,0.751151,0.00050000,2026-04-29T03:49:48Z
8,srnn-sfa-e-only-skip-per-neuron,0.080564,0.212377,0.079068,0.209911,0.00050000,2026-04-29T03:49:48Z
8,srnn-std-e-only-per-neuron,0.852716,0.711610,0.948060,0.749232,0.00050000,2026-04-29T03:49:48Z
8,srnn-std-e-only-skip-per-neuron,0.076897,0.206900,0.076027,0.205483,0.00050000,2026-04-29T03:49:48Z
9,srnn-e-only-per-neuron,0.836914,0.704291,0.918565,0.736597,0.00050000,2026-04-29T03:53:34Z
9,srnn-e-only-skip-per-neuron,0.075560,0.205094,0.074759,0.203741,0.00050000,2026-04-29T03:53:34Z
9,srnn-sfa-e-only-per-neuron,0.867595,0.717438,0.955079,0.750709,0.00050000,2026-04-29T03:53:34Z
9,srnn-sfa-e-only-skip-per-neuron,0.080558,0.212367,0.079060,0.209901,0.00050000,2026-04-29T03:53:34Z
9,srnn-std-e-only-per-neuron,0.852055,0.711359,0.947922,0.749269,0.00050000,2026-04-29T03:53:34Z
9,srnn-std-e-only-skip-per-neuron,0.076813,0.206788,0.075956,0.205392,0.00050000,2026-04-29T03:53:34Z
10,srnn-e-only-per-neuron,0.836014,0.703934,0.917926,0.736339,0.00050000,2026-04-29T03:57:42Z
10,srnn-e-only-skip-per-neuron,0.075469,0.204964,0.074672,0.203618,0.00050000,2026-04-29T03:57:42Z
10,srnn-sfa-e-only-per-neuron,0.866891,0.717225,0.954332,0.750314,0.00050000,2026-04-29T03:57:42Z
10,srnn-sfa-e-only-skip-per-neuron,0.080551,0.212356,0.079052,0.209888,0.00050000,2026-04-29T03:57:42Z
10,srnn-std-e-only-per-neuron,0.851446,0.711122,0.947264,0.749001,0.00050000,2026-04-29T03:57:42Z
10,srnn-std-e-only-skip-per-neuron,0.076729,0.206673,0.075882,0.205283,0.00050000,2026-04-29T03:57:42Z
11,srnn-e-only-per-neuron,0.835235,0.703650,0.917187,0.736031,0.00050000,2026-04-29T04:01:32Z
11,srnn-e-only-skip-per-neuron,0.075375,0.204843,0.074585,0.203507,0.00050000,2026-04-29T04:01:32Z
11,srnn-sfa-e-only-per-neuron,0.866075,0.716919,0.954399,0.750496,0.00050000,2026-04-29T04:01:32Z
11,srnn-sfa-e-only-skip-per-neuron,0.080543,0.212345,0.079044,0.209876,0.00050000,2026-04-29T04:01:32Z
11,srnn-std-e-only-per-neuron,0.850691,0.710830,0.947077,0.748963,0.00050000,2026-04-29T04:01:32Z
11,srnn-std-e-only-skip-per-neuron,0.076645,0.206555,0.075807,0.205187,0.00050000,2026-04-29T04:01:32Z
12,srnn-e-only-per-neuron,0.834263,0.703195,0.916126,0.735626,0.00050000,2026-04-29T04:05:20Z
12,srnn-e-only-skip-per-neuron,0.075281,0.204723,0.074494,0.203384,0.00050000,2026-04-29T04:05:20Z
12,srnn-sfa-e-only-per-neuron,0.865130,0.716475,0.954003,0.750274,0.00050000,2026-04-29T04:05:20Z
12,srnn-sfa-e-only-skip-per-neuron,0.080535,0.212332,0.079034,0.209861,0.00050000,2026-04-29T04:05:20Z
12,srnn-std-e-only-per-neuron,0.850115,0.710584,0.946748,0.748767,0.00050000,2026-04-29T04:05:20Z
12,srnn-std-e-only-skip-per-neuron,0.076560,0.206447,0.075730,0.205087,0.00050000,2026-04-29T04:05:20Z
13,srnn-e-only-per-neuron,0.833327,0.702851,0.915515,0.735476,0.00050000,2026-04-29T04:09:07Z
13,srnn-e-only-skip-per-neuron,0.075184,0.204588,0.074403,0.203259,0.00050000,2026-04-29T04:09:07Z
13,srnn-sfa-e-only-per-neuron,0.864257,0.716159,0.953000,0.749856,0.00050000,2026-04-29T04:09:07Z
13,srnn-sfa-e-only-skip-per-neuron,0.080526,0.212318,0.079025,0.209849,0.00050000,2026-04-29T04:09:07Z
13,srnn-std-e-only-per-neuron,0.849418,0.710292,0.945939,0.748478,0.00050000,2026-04-29T04:09:07Z
