# overnight-cl250-resume120__concat — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.52182           —           —     scalar
tau_d (s)                                 +0.1     +0.021479           0    0.007465        300
tau_a_E (s)                            +4.8777      +0.89414       3.996      0.7305        450
tau_b_rec_E (s)                             +1      +0.22725           0      0.0352        150
tau_b_rel_E (s)                          +0.25      +0.32289           0     0.05786        150
W_eff (E src, signed)                 +0.23267      +0.18151     0.07641     0.06566      15048
W_eff (I src, signed)                 -0.31062      -0.24028     0.07724     0.07004      14977
|W_eff| (E src)                       +0.23267      +0.18151     0.07641     0.06566      15048
|W_eff| (I src)                       +0.31062      +0.24028     0.07724     0.07004      14977
W_in_eff (input neurons)            -0.0003386   +0.00081433      0.1012     0.07879       6675
c_E (SFA coupling)                       +0.05     +0.082126           0     0.02424        450
c_0_E (SFA offset)                          +0      -0.36987           0      0.1679        450
a_0 (threshold)                          +0.35      +0.16904           0      0.1091        300
readout_weight                     -2.8854e-05   -0.00058804     0.06604      0.2205       6675
readout_bias                                +0   +0.00010319           0      0.2097         89
ic.ic (per-variant init)             +0.098875     -0.055855      0.3842      0.5219        900
