# overnight-cl250-resume120__concat — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +0.6228           —           —     scalar
tau_d (s)                                 +0.1     +0.031946           0    0.008385        300
tau_a_E (s)                            +4.8777       +2.3462       3.996       1.912        450
tau_b_rec_E (s)                             +1       +0.6228           0           0        150
tau_b_rel_E (s)                          +0.25       +0.1557           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22561     0.07641     0.07892      15048
W_eff (I src, signed)                 -0.31062      -0.29814     0.07724     0.08305      14977
|W_eff| (E src)                       +0.23267      +0.22561     0.07641     0.07892      15048
|W_eff| (I src)                       +0.31062      +0.29814     0.07724     0.08305      14977
W_in_eff (input neurons)           -0.00015382    -0.0018244     0.09934      0.1217       6675
c_E (SFA coupling)                       +0.05     +0.045337           0    0.005954        450
c_0_E (SFA offset)                          +0      -0.21542           0      0.1249        450
a_0 (threshold)                          +0.35        +0.366           0     0.08314        300
readout_weight                     -0.00098972    +0.0084713     0.06678      0.1704       6675
readout_bias                                +0      -0.10435           0      0.1289         89
ic.ic (per-variant init)              +0.13078    -0.0045598      0.4172      0.4608        900
