# overnight-cl250-resume120__concat — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.68228           —           —     scalar
tau_d (s)                                 +0.1     +0.040003           0    0.004433        300
tau_a_E (s)                            +4.8777       +2.9413       3.996       2.417        450
tau_b_rec_E (s)                             +1      +0.68228           0           0        150
tau_b_rel_E (s)                          +0.25      +0.17057           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22832     0.07641     0.07621      15048
W_eff (I src, signed)                 -0.31062      -0.30425     0.07724     0.07747      14977
|W_eff| (E src)                       +0.23267      +0.22832     0.07641     0.07621      15048
|W_eff| (I src)                       +0.31062      +0.30425     0.07724     0.07747      14977
W_in_eff (input neurons)            -0.0011621    -0.0030177     0.09962     0.07681       6675
c_E (SFA coupling)                       +0.05     +0.053708           0    0.007939        450
c_0_E (SFA offset)                          +0     +0.017061           0      0.1012        450
a_0 (threshold)                          +0.35      +0.35718           0      0.0842        300
readout_weight                     +0.00016801    -0.0028867      0.0673     0.06855       6675
readout_bias                                +0       +0.0371           0     0.04487         89
ic.ic (per-variant init)              +0.09231     +0.054494      0.5294      0.4889        900
