# overnight-cl250-resume120__concat — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.69512           —           —     scalar
tau_d (s)                                 +0.1     +0.039022           0    0.009972        300
tau_a_E (s)                           +0.69315      +0.48182           0           0        450
tau_b_rec_E (s)                             +1       +0.3318           0     0.03998        150
tau_b_rel_E (s)                          +0.25        +0.387           0     0.05346        150
W_eff (E src, signed)                 +0.23267      +0.25831     0.07641     0.09257      15048
W_eff (I src, signed)                 -0.31062      -0.34123     0.07724     0.09821      14977
|W_eff| (E src)                       +0.23267      +0.25831     0.07641     0.09257      15048
|W_eff| (I src)                       +0.31062      +0.34123     0.07724     0.09821      14977
W_in_eff (input neurons)           +0.00019944   -0.00098562     0.09994      0.1332       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.28106           0      0.1036        300
readout_weight                     +0.00074661     +0.010267     0.06657      0.1858       6675
readout_bias                                +0     -0.022221           0       0.187         89
ic.ic (per-variant init)             +0.087739     +0.030821      0.3868      0.4926        900
