# overnight-cl250 — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.75694           —           —     scalar
tau_d (s)                                 +0.1     +0.047285           0     0.00829        300
tau_a_E (s)                            +4.8777       +2.5842       3.996       2.116        450
tau_b_rec_E (s)                             +1      +0.45844           0     0.04265        150
tau_b_rel_E (s)                          +0.25      +0.32092           0     0.03539        150
W_eff (E src, signed)                 +0.23267      +0.24787     0.07641     0.08534      15048
W_eff (I src, signed)                 -0.31062      -0.32687     0.07724     0.08695      14977
|W_eff| (E src)                       +0.23267      +0.24787     0.07641     0.08534      15048
|W_eff| (I src)                       +0.31062      +0.32687     0.07724     0.08695      14977
W_in_eff (input neurons)            -0.0003386    +0.0013842      0.1012      0.1342       6675
c_E (SFA coupling)                       +0.05      +0.05476           0    0.006898        450
c_0_E (SFA offset)                          +0      -0.27431           0     0.09773        450
a_0 (threshold)                          +0.35      +0.16777           0     0.08514        300
readout_weight                     -2.8854e-05    -0.0057749     0.06604      0.1456       6675
readout_bias                                +0    +0.0044741           0      0.1548         89
ic.ic (per-variant init)             +0.098875   -0.00036654      0.3842      0.5642        900
