# overnight-cl250 — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.71474           —           —     scalar
tau_d (s)                                 +0.1     +0.045103           0     0.00597        300
tau_a_E (s)                            +4.8777       +2.9855       3.996       2.453        450
tau_b_rec_E (s)                             +1      +0.64798           0     0.02907        150
tau_b_rel_E (s)                          +0.25      +0.17806           0    0.008715        150
W_eff (E src, signed)                 +0.23267      +0.22277     0.07641     0.07386      15048
W_eff (I src, signed)                 -0.31062      -0.29646     0.07724     0.07555      14977
|W_eff| (E src)                       +0.23267      +0.22277     0.07641     0.07386      15048
|W_eff| (I src)                       +0.31062      +0.29646     0.07724     0.07555      14977
W_in_eff (input neurons)           -0.00084237     +0.001791      0.1008      0.0739       6675
c_E (SFA coupling)                       +0.05     +0.052935           0    0.003242        450
c_0_E (SFA offset)                          +0    -0.0012899           0     0.05942        450
a_0 (threshold)                          +0.35      +0.28407           0     0.07765        300
readout_weight                     +0.00078219     -0.013388     0.06654     0.07669       6675
readout_bias                                +0     +0.075552           0     0.08734         89
ic.ic (per-variant init)             +0.098961     +0.064123       0.387      0.4347        900
