# overnight-cl250 — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1        +1.016           —           —     scalar
tau_d (s)                                 +0.1      +0.10403           0    0.003474        300
tau_a_E (s)                            +4.8777       +4.8605       3.996       3.986        450
tau_b_rec_E (s)                             +1        +1.016           0           0        150
tau_b_rel_E (s)                          +0.25        +0.254           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22921     0.07641     0.07535      15048
W_eff (I src, signed)                 -0.31062      -0.30625     0.07724     0.07637      14977
|W_eff| (E src)                       +0.23267      +0.22921     0.07641     0.07535      15048
|W_eff| (I src)                       +0.31062      +0.30625     0.07724     0.07637      14977
W_in_eff (input neurons)            -0.0011621    -0.0014667     0.09962     0.09388       6675
c_E (SFA coupling)                       +0.05     +0.051699           0    0.001434        450
c_0_E (SFA offset)                          +0     +0.036936           0     0.02567        450
a_0 (threshold)                          +0.35      +0.37426           0     0.03578        300
readout_weight                     +0.00016801    -0.0010738      0.0673     0.06088       6675
readout_bias                                +0    +0.0022042           0    0.003744         89
ic.ic (per-variant init)              +0.09231      +0.11729      0.5294      0.4143        900
