# overnight-cl250 — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.73075           —           —     scalar
tau_d (s)                                 +0.1     +0.048476           0    0.004967        300
tau_a_E (s)                           +0.69315      +0.50652           0           0        450
tau_b_rec_E (s)                             +1      +0.68599           0     0.02816        150
tau_b_rel_E (s)                          +0.25      +0.18328           0    0.008936        150
W_eff (E src, signed)                 +0.23267      +0.24529     0.07641     0.08121      15048
W_eff (I src, signed)                 -0.31062       -0.3268     0.07724     0.08245      14977
|W_eff| (E src)                       +0.23267      +0.24529     0.07641     0.08121      15048
|W_eff| (I src)                       +0.31062       +0.3268     0.07724     0.08245      14977
W_in_eff (input neurons)           +0.00036119   -0.00069182     0.09956     0.08771       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35       +0.3437           0     0.05943        300
readout_weight                     +0.00055372    -0.0083536     0.06572     0.06826       6675
readout_bias                                +0     +0.024059           0     0.04786         89
ic.ic (per-variant init)             +0.089141      +0.07427      0.3857      0.4266        900
