# overnight-run1-Whoist — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.32738           —           —     scalar
tau_d (s)                                 +0.1    +0.0029804           0    0.002336        300
tau_a_E[j=0] (s)                         +0.25     +0.015785           0     0.01148        150
tau_a_E[j=1] (s)                       +4.3832       +0.4892           0      0.1567        150
tau_a_E[j=2] (s)                           +10       +1.1436           0      0.1401        150
tau_b_rec_E (s)                             +1       +7.6743           0       3.204        150
tau_b_rel_E (s)                          +0.25      +0.37496           0     0.06777        150
W_eff (E src, signed)                 +0.23267      +0.37141     0.07641      0.3083      15048
W_eff (I src, signed)                 -0.31062      -0.36737     0.07724      0.1441      14977
|W_eff| (E src)                       +0.23267      +0.37141     0.07641      0.3083      15048
|W_eff| (I src)                       +0.31062      +0.36737     0.07724      0.1441      14977
W_in_eff (input neurons)            -0.0003386   -0.00011137      0.1012     0.06014       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.76251           0       0.936        150
c_E[j=1] (SFA coupling)                  +0.05      +0.23387           0     0.07359        150
c_E[j=2] (SFA coupling)                  +0.05      +0.24056           0      0.0677        150
c_0_E[j=0] (SFA offset)                     +0       -1.0693           0      0.2698        150
c_0_E[j=1] (SFA offset)                     +0       -1.6555           0      0.6012        150
c_0_E[j=2] (SFA offset)                     +0       -1.8327           0       0.755        150
a_0 (threshold)                          +0.35       -1.3069           0      0.2358        300
readout_weight                     -2.8854e-05    -0.0088719     0.06604       1.075       6675
readout_bias                                +0     +0.036947           0      0.1891         89
ic.ic (per-variant init)              +0.10386      +0.10386      0.3828      0.3828        900
