# overnight-run1-Whoist — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.39829           —           —     scalar
tau_d (s)                                 +0.1    +0.0070567           0    0.005277        300
tau_a_E[j=0] (s)                         +0.25     +0.024326           0     0.02415        150
tau_a_E[j=1] (s)                       +4.3832      +0.40255           0     0.09569        150
tau_a_E[j=2] (s)                           +10       +1.0347           0     0.07607        150
tau_b_rec_E (s)                             +1       +1.7102           0      0.5535        150
tau_b_rel_E (s)                          +0.25      +0.37069           0      0.1286        150
W_eff (E src, signed)                 +0.23267      +0.21163     0.07641       0.117      15048
W_eff (I src, signed)                 -0.31062      -0.26258     0.07724       0.116      14977
|W_eff| (E src)                       +0.23267      +0.21163     0.07641       0.117      15048
|W_eff| (I src)                       +0.31062      +0.26258     0.07724       0.116      14977
W_in_eff (input neurons)           -0.00084237     -0.000566      0.1008     0.03338       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.23995           0      0.2484        150
c_E[j=1] (SFA coupling)                  +0.05       +0.1105           0     0.04332        150
c_E[j=2] (SFA coupling)                  +0.05      +0.10914           0     0.03611        150
c_0_E[j=0] (SFA offset)                     +0       -0.5166           0       0.153        150
c_0_E[j=1] (SFA offset)                     +0      -0.63067           0      0.3356        150
c_0_E[j=2] (SFA offset)                     +0      -0.64398           0       0.377        150
a_0 (threshold)                          +0.35      -0.53513           0      0.1452        300
readout_weight                     +0.00078219    -0.0020769     0.06654      0.3112       6675
readout_bias                                +0      +0.14165           0      0.2093         89
ic.ic (per-variant init)              +0.10327      +0.10327      0.3829      0.3829        900
