# overnight-run1-Whoist — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.18512           —           —     scalar
tau_d (s)                                 +0.1    +0.0023674           0    0.002576        300
tau_a_E[j=0] (s)                         +0.25     +0.013775           0     0.01443        150
tau_a_E[j=1] (s)                       +4.3832      +0.53164           0      0.1473        150
tau_a_E[j=2] (s)                           +10       +1.1383           0      0.1431        150
tau_b_rec_E (s)                             +1      +0.18512           0           0        150
tau_b_rel_E (s)                          +0.25      +0.04628           0           0        150
W_eff (E src, signed)                 +0.23267      +0.11601     0.07641      0.0592      15048
W_eff (I src, signed)                 -0.31062      -0.15321     0.07724     0.06234      14977
|W_eff| (E src)                       +0.23267      +0.11601     0.07641      0.0592      15048
|W_eff| (I src)                       +0.31062      +0.15321     0.07724     0.06234      14977
W_in_eff (input neurons)           -0.00015382    -0.0010107     0.09934     0.05065       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.82446           0      0.9405        150
c_E[j=1] (SFA coupling)                  +0.05      +0.17837           0     0.09287        150
c_E[j=2] (SFA coupling)                  +0.05       +0.2319           0     0.07824        150
c_0_E[j=0] (SFA offset)                     +0      -0.25608           0      0.1874        150
c_0_E[j=1] (SFA offset)                     +0      -0.30064           0      0.2903        150
c_0_E[j=2] (SFA offset)                     +0      -0.29851           0      0.3237        150
a_0 (threshold)                          +0.35     +0.087299           0      0.1382        300
readout_weight                     -0.00098972    +0.0081173     0.06678      0.5427       6675
readout_bias                                +0       -0.1264           0      0.2967         89
ic.ic (per-variant init)              +0.13078      +0.13078      0.4172      0.4172        900
