# overnight-run1-Whoist — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.25008           —           —     scalar
tau_d (s)                                 +0.1    +0.0017287           0    0.001449        300
tau_b_rec_E (s)                             +1       +3.9623           0       1.862        150
tau_b_rel_E (s)                          +0.25      +0.42512           0     0.07687        150
W_eff (E src, signed)                 +0.23267      +0.23364     0.07641      0.1586      15048
W_eff (I src, signed)                 -0.31062      -0.25145     0.07724     0.09947      14977
|W_eff| (E src)                       +0.23267      +0.23364     0.07641      0.1586      15048
|W_eff| (I src)                       +0.31062      +0.25145     0.07724     0.09947      14977
W_in_eff (input neurons)           +0.00019944   -0.00031341     0.09994     0.03871       6675
a_0 (threshold)                          +0.35       -1.4128           0      0.2758        300
readout_weight                     +0.00074661    -0.0069444     0.06657      0.8627       6675
readout_bias                                +0     -0.019712           0      0.1602         89
ic.ic (per-variant init)             +0.090819     +0.090819      0.3835      0.3835        900
