epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.980230,0.758130,1.021047,0.771172,0.00050000,2026-05-02T03:06:09Z
11,srnn-e-only-skip-per-neuron,0.080667,0.212533,0.079140,0.210016,0.00050000,2026-05-02T03:06:09Z
11,srnn-sfa-e-only-per-neuron,0.990928,0.763281,1.031387,0.776199,0.00050000,2026-05-02T03:06:09Z
11,srnn-sfa-e-only-skip-per-neuron,0.080863,0.212864,0.079345,0.210366,0.00050000,2026-05-02T03:06:09Z
11,srnn-std-e-only-per-neuron,0.976436,0.759861,1.017480,0.773516,0.00050000,2026-05-02T03:06:09Z
11,srnn-std-e-only-skip-per-neuron,0.080683,0.212558,0.079156,0.210037,0.00050000,2026-05-02T03:06:09Z
23,srnn-e-only-per-neuron,0.942512,0.743637,0.987900,0.759430,0.00050000,2026-05-02T03:09:56Z
23,srnn-e-only-skip-per-neuron,0.079931,0.211375,0.078375,0.208853,0.00050000,2026-05-02T03:09:56Z
23,srnn-sfa-e-only-per-neuron,0.954912,0.749704,0.999522,0.764893,0.00050000,2026-05-02T03:09:56Z
23,srnn-sfa-e-only-skip-per-neuron,0.080735,0.212644,0.079205,0.210125,0.00050000,2026-05-02T03:09:56Z
23,srnn-std-e-only-per-neuron,0.933632,0.743436,0.982954,0.760582,0.00050000,2026-05-02T03:09:56Z
23,srnn-std-e-only-skip-per-neuron,0.080367,0.212058,0.078789,0.209499,0.00050000,2026-05-02T03:09:56Z
35,srnn-e-only-per-neuron,0.903147,0.729260,0.953591,0.747666,0.00050000,2026-05-02T03:13:43Z
35,srnn-e-only-skip-per-neuron,0.077917,0.208356,0.076716,0.206483,0.00050000,2026-05-02T03:13:43Z
35,srnn-sfa-e-only-per-neuron,0.919962,0.736977,0.973171,0.756101,0.00050000,2026-05-02T03:13:43Z
35,srnn-sfa-e-only-skip-per-neuron,0.080703,0.212588,0.079168,0.210063,0.00050000,2026-05-02T03:13:43Z
35,srnn-std-e-only-per-neuron,0.901528,0.730957,0.960710,0.752563,0.00050000,2026-05-02T03:13:43Z
35,srnn-std-e-only-skip-per-neuron,0.078418,0.209089,0.077115,0.207044,0.00050000,2026-05-02T03:13:43Z
47,srnn-e-only-per-neuron,0.866869,0.715633,0.917571,0.734990,0.00050000,2026-05-02T03:17:30Z
47,srnn-e-only-skip-per-neuron,0.075667,0.205223,0.074718,0.203656,0.00050000,2026-05-02T03:17:30Z
47,srnn-sfa-e-only-per-neuron,0.886223,0.724568,0.945219,0.746126,0.00050000,2026-05-02T03:17:30Z
47,srnn-sfa-e-only-skip-per-neuron,0.080680,0.212554,0.079149,0.210033,0.00050000,2026-05-02T03:17:30Z
47,srnn-std-e-only-per-neuron,0.876857,0.721160,0.940780,0.745179,0.00050000,2026-05-02T03:17:30Z
47,srnn-std-e-only-skip-per-neuron,0.076227,0.205967,0.075302,0.204448,0.00050000,2026-05-02T03:17:30Z
59,srnn-e-only-per-neuron,0.831802,0.701629,0.879580,0.720318,0.00050000,2026-05-02T03:21:18Z
59,srnn-e-only-skip-per-neuron,0.072831,0.201430,0.072087,0.200173,0.00050000,2026-05-02T03:21:18Z
59,srnn-sfa-e-only-per-neuron,0.855760,0.712640,0.916756,0.735637,0.00050000,2026-05-02T03:21:18Z
59,srnn-sfa-e-only-skip-per-neuron,0.080608,0.212442,0.079101,0.209961,0.00050000,2026-05-02T03:21:18Z
59,srnn-std-e-only-per-neuron,0.855673,0.712627,0.922171,0.738326,0.00050000,2026-05-02T03:21:18Z
59,srnn-std-e-only-skip-per-neuron,0.073678,0.202649,0.072906,0.201361,0.00050000,2026-05-02T03:21:18Z
71,srnn-e-only-per-neuron,0.787708,0.682803,0.828866,0.699508,0.00050000,2026-05-02T03:25:06Z
71,srnn-e-only-skip-per-neuron,0.069366,0.196874,0.068729,0.195727,0.00050000,2026-05-02T03:25:06Z
71,srnn-sfa-e-only-per-neuron,0.824969,0.699988,0.880340,0.721159,0.00050000,2026-05-02T03:25:06Z
71,srnn-sfa-e-only-skip-per-neuron,0.080306,0.211968,0.078767,0.209484,0.00050000,2026-05-02T03:25:06Z
71,srnn-std-e-only-per-neuron,0.835124,0.704168,0.900418,0.730170,0.00050000,2026-05-02T03:25:06Z
71,srnn-std-e-only-skip-per-neuron,0.070613,0.198674,0.070048,0.197625,0.00050000,2026-05-02T03:25:06Z
83,srnn-e-only-per-neuron,0.731766,0.657480,0.767123,0.672529,0.00050000,2026-05-02T03:28:55Z
83,srnn-e-only-skip-per-neuron,0.066566,0.193161,0.066017,0.192102,0.00050000,2026-05-02T03:28:55Z
83,srnn-sfa-e-only-per-neuron,0.782164,0.681420,0.828024,0.699661,0.00050000,2026-05-02T03:28:55Z
83,srnn-sfa-e-only-skip-per-neuron,0.079334,0.210514,0.077875,0.208145,0.00050000,2026-05-02T03:28:55Z
83,srnn-std-e-only-per-neuron,0.810328,0.693606,0.870589,0.718150,0.00050000,2026-05-02T03:28:55Z
83,srnn-std-e-only-skip-per-neuron,0.067850,0.195013,0.067413,0.194142,0.00050000,2026-05-02T03:28:55Z
95,srnn-e-only-per-neuron,0.674549,0.630345,0.703024,0.642821,0.00050000,2026-05-02T03:32:44Z
95,srnn-e-only-skip-per-neuron,0.064531,0.190467,0.064050,0.189547,0.00050000,2026-05-02T03:32:44Z
95,srnn-sfa-e-only-per-neuron,0.727451,0.656402,0.761685,0.670578,0.00050000,2026-05-02T03:32:44Z
95,srnn-sfa-e-only-skip-per-neuron,0.077921,0.208422,0.076675,0.206368,0.00050000,2026-05-02T03:32:44Z
95,srnn-std-e-only-per-neuron,0.775980,0.678411,0.826578,0.699401,0.00050000,2026-05-02T03:32:44Z
95,srnn-std-e-only-skip-per-neuron,0.065622,0.192009,0.065240,0.191216,0.00050000,2026-05-02T03:32:44Z
107,srnn-e-only-per-neuron,0.622028,0.604341,0.644203,0.614292,0.00050000,2026-05-02T03:36:32Z
107,srnn-e-only-skip-per-neuron,0.062976,0.188437,0.062596,0.187702,0.00050000,2026-05-02T03:36:32Z
107,srnn-sfa-e-only-per-neuron,0.666958,0.627522,0.691403,0.638176,0.00050000,2026-05-02T03:36:32Z
107,srnn-sfa-e-only-skip-per-neuron,0.076549,0.206486,0.075451,0.204643,0.00050000,2026-05-02T03:36:32Z
107,srnn-std-e-only-per-neuron,0.730810,0.657537,0.770521,0.674465,0.00050000,2026-05-02T03:36:32Z
