# overnight-run2-Whoist-cl — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.39706           —           —     scalar
tau_d (s)                                 +0.1    +0.0039354           0    0.003722        300
tau_a_E[j=0] (s)                         +0.25     +0.018797           0     0.01363        150
tau_a_E[j=1] (s)                       +4.3832      +0.52652           0      0.1858        150
tau_a_E[j=2] (s)                           +10       +1.2742           0      0.1579        150
tau_b_rec_E (s)                             +1       +12.939           0       5.352        150
tau_b_rel_E (s)                          +0.25      +0.37073           0     0.05959        150
W_eff (E src, signed)                 +0.23267      +0.42072     0.07641       0.363      15048
W_eff (I src, signed)                 -0.31062      -0.39413     0.07724      0.1694      14977
|W_eff| (E src)                       +0.23267      +0.42072     0.07641       0.363      15048
|W_eff| (I src)                       +0.31062      +0.39413     0.07724      0.1694      14977
W_in_eff (input neurons)            -0.0003386   +0.00014097      0.1012     0.07117       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.63712           0      0.7275        150
c_E[j=1] (SFA coupling)                  +0.05       +0.1987           0     0.05982        150
c_E[j=2] (SFA coupling)                  +0.05      +0.20571           0     0.05744        150
c_0_E[j=0] (SFA offset)                     +0        -1.358           0      0.2772        150
c_0_E[j=1] (SFA offset)                     +0       -1.9587           0      0.6185        150
c_0_E[j=2] (SFA offset)                     +0       -2.1416           0      0.7795        150
a_0 (threshold)                          +0.35       -1.1487           0      0.2353        300
readout_weight                     -2.8854e-05      -0.01866     0.06604       1.029       6675
readout_bias                                +0     +0.030146           0      0.1201         89
ic.ic (per-variant init)              +0.10386      +0.10386      0.3828      0.3828        900
