# overnight-run2-Whoist-cl — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.34822           —           —     scalar
tau_d (s)                                 +0.1    +0.0070211           0    0.005324        300
tau_a_E[j=0] (s)                         +0.25     +0.017363           0      0.0174        150
tau_a_E[j=1] (s)                       +4.3832      +0.32887           0      0.0901        150
tau_a_E[j=2] (s)                           +10      +0.85352           0      0.0758        150
tau_b_rec_E (s)                             +1      +0.89423           0      0.3454        150
tau_b_rel_E (s)                          +0.25      +0.41824           0      0.1665        150
W_eff (E src, signed)                 +0.23267      +0.18583     0.07641     0.09793      15048
W_eff (I src, signed)                 -0.31062       -0.2346     0.07724      0.1038      14977
|W_eff| (E src)                       +0.23267      +0.18583     0.07641     0.09793      15048
|W_eff| (I src)                       +0.31062       +0.2346     0.07724      0.1038      14977
W_in_eff (input neurons)           -0.00084237   -0.00032963      0.1008     0.03327       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.25985           0       0.305        150
c_E[j=1] (SFA coupling)                  +0.05       +0.1118           0     0.05291        150
c_E[j=2] (SFA coupling)                  +0.05      +0.10908           0      0.0379        150
c_0_E[j=0] (SFA offset)                     +0      -0.44023           0      0.1462        150
c_0_E[j=1] (SFA offset)                     +0      -0.53988           0      0.3027        150
c_0_E[j=2] (SFA offset)                     +0       -0.5567           0       0.334        150
a_0 (threshold)                          +0.35      -0.45279           0      0.1396        300
readout_weight                     +0.00078219    -0.0049355     0.06654      0.2849       6675
readout_bias                                +0      +0.14971           0      0.2096         89
ic.ic (per-variant init)              +0.10327      +0.10327      0.3829      0.3829        900
