epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.981123,0.758577,1.021827,0.771682,0.00050000,2026-05-02T06:58:02Z
11,srnn-e-only-skip-per-neuron,0.117523,0.255810,0.079143,0.210020,0.00050000,2026-05-02T06:58:02Z
11,srnn-sfa-e-only-per-neuron,0.992379,0.764004,1.031908,0.776593,0.00050000,2026-05-02T06:58:02Z
11,srnn-sfa-e-only-skip-per-neuron,0.117818,0.256216,0.079319,0.210323,0.00050000,2026-05-02T06:58:02Z
11,srnn-std-e-only-per-neuron,0.977132,0.759971,1.017860,0.773276,0.00050000,2026-05-02T06:58:02Z
11,srnn-std-e-only-skip-per-neuron,0.117545,0.255837,0.079156,0.210036,0.00050000,2026-05-02T06:58:02Z
23,srnn-e-only-per-neuron,0.944277,0.744349,0.988963,0.759880,0.00050000,2026-05-02T07:02:57Z
23,srnn-e-only-skip-per-neuron,0.119833,0.258436,0.078502,0.209041,0.00050000,2026-05-02T07:02:57Z
23,srnn-sfa-e-only-per-neuron,0.957699,0.751023,0.999010,0.764917,0.00050000,2026-05-02T07:02:57Z
23,srnn-sfa-e-only-skip-per-neuron,0.120984,0.259896,0.079200,0.210115,0.00050000,2026-05-02T07:02:57Z
23,srnn-std-e-only-per-neuron,0.936851,0.744557,0.984070,0.760765,0.00050000,2026-05-02T07:02:57Z
23,srnn-std-e-only-skip-per-neuron,0.120415,0.259178,0.078831,0.209556,0.00050000,2026-05-02T07:02:57Z
35,srnn-e-only-per-neuron,0.905025,0.729880,0.952098,0.747464,0.00050000,2026-05-02T07:07:51Z
35,srnn-e-only-skip-per-neuron,0.113563,0.250781,0.076904,0.206730,0.00050000,2026-05-02T07:07:51Z
35,srnn-sfa-e-only-per-neuron,0.924774,0.739085,0.974064,0.756691,0.00050000,2026-05-02T07:07:51Z
35,srnn-sfa-e-only-skip-per-neuron,0.117770,0.255995,0.079169,0.210063,0.00050000,2026-05-02T07:07:51Z
