# overnight9h — variant srnn-skip (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.82291           —           —     scalar
tau_d (s)                                 +0.1     +0.069289           0           0        300
tau_a_E (s)                            +4.8777       +3.8078       3.996       3.119        450
tau_a_I (s)                            +4.8777       +3.5291       3.996       2.891        450
tau_b_rec_E (s)                             +1       +0.8256           0           0        150
tau_b_rel_E (s)                          +0.25      +0.20204           0           0        150
tau_b_rec_I (s)                             +1       +0.8156           0           0        150
tau_b_rel_I (s)                          +0.25      +0.20033           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22743     0.07641     0.07487      15048
W_eff (I src, signed)                 -0.31062      -0.30388     0.07724     0.07581      14977
|W_eff| (E src)                       +0.23267      +0.22743     0.07641     0.07487      15048
|W_eff| (I src)                       +0.31062      +0.30388     0.07724     0.07581      14977
W_in_eff (input neurons)            +0.0005819      +0.00453     0.09954      0.1013       6675
c_E (SFA coupling)                       +0.05     +0.051033           0           0        450
c_0_E (SFA offset)                          +0     +0.021421           0           0        450
c_I (SFA coupling)                       +0.05     +0.049782           0           0        450
c_0_I (SFA offset)                          +0     -0.024307           0           0        450
a_0 (threshold)                          +0.35      +0.36655           0           0        300
readout_weight                     -0.00025143    -0.0087016     0.06686     0.06239       6675
readout_bias                                +0     +0.011804           0     0.01621         89
ic.ic (per-variant init)              +0.17068      +0.16826      0.3591      0.3885       1500
