# overnight9h — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.79081           —           —     scalar
tau_d (s)                                 +0.1     +0.060951           0     0.00457        300
tau_a_E (s)                            +4.8777       +3.6689       3.996        3.01        450
tau_a_I (s)                           +0.69315      +0.54815           0           0        450
tau_b_rec_E (s)                             +1      +0.77469           0     0.02205        150
tau_b_rel_E (s)                          +0.25      +0.19497           0    0.006761        150
tau_b_rec_I (s)                             +1      +0.79081           0           0        150
tau_b_rel_I (s)                          +0.25       +0.1977           0           0        150
W_eff (E src, signed)                 +0.23267      +0.23188     0.07641     0.07641      15048
W_eff (I src, signed)                 -0.31062      -0.30904     0.07724     0.07736      14977
|W_eff| (E src)                       +0.23267      +0.23188     0.07641     0.07641      15048
|W_eff| (I src)                       +0.31062      +0.30904     0.07724     0.07736      14977
W_in_eff (input neurons)           -0.00084237   +0.00059068      0.1008     0.08985       6675
c_E (SFA coupling)                       +0.05     +0.051772           0    0.001311        450
c_0_E (SFA offset)                          +0     +0.026169           0      0.0242        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.35272           0     0.04392        300
readout_weight                      -0.0016154    -0.0090911     0.06624     0.06309       6675
readout_bias                                +0     +0.027875           0     0.03333         89
ic.ic (per-variant init)              +0.15938      +0.16418      0.4127      0.4249       1500
