# overnight9h — variant srnn-no-dales-skip (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1        +0.797           —           —     scalar
tau_d (s)                                 +0.1      +0.06505           0           0        300
tau_a_E (s)                            +4.8777       +3.7314       3.996       3.057        450
tau_a_I (s)                            +4.8777       +3.5061       3.996       2.872        450
tau_b_rec_E (s)                             +1      +0.79268           0           0        150
tau_b_rel_E (s)                          +0.25      +0.19763           0           0        150
tau_b_rec_I (s)                             +1      +0.79265           0           0        150
tau_b_rel_I (s)                          +0.25      +0.19557           0           0        150
W_eff (E src, signed)                  +0.2326      +0.23221     0.07663     0.08022      15048
W_eff (I src, signed)                 -0.31062      -0.30686     0.07727     0.08275      14977
|W_eff| (E src)                       +0.23267      +0.23239     0.07641     0.07972      15048
|W_eff| (I src)                       +0.31062      +0.30696     0.07724      0.0824      14977
W_in_eff (input neurons)            -0.0011621    +0.0049221     0.09962      0.1037       6675
c_E (SFA coupling)                       +0.05     +0.050413           0           0        450
c_0_E (SFA offset)                          +0    +0.0083969           0           0        450
c_I (SFA coupling)                       +0.05      +0.05011           0           0        450
c_0_I (SFA offset)                          +0     -0.012404           0           0        450
a_0 (threshold)                          +0.35      +0.35191           0           0        300
readout_weight                      -0.0016591     -0.012663     0.06668     0.06659       6675
readout_bias                                +0     +0.020652           0     0.02351         89
ic.ic (per-variant init)              +0.16747      +0.16416      0.3627      0.3999       1500
